Sensitive Feature,Disparate Impact,Statistical Parity Difference,Consistency,Bias Detected,Dataset
sex,0.5258201128881562,-0.16814614203772754,[0.71319269],True,Adult_Race_bias3.csv
race,1.522852189983502,0.14615884548930885,[0.71319269],True,Adult_Race_bias3.csv
sex,0.3621510335442035,-0.13903256208591966,[0.80440494],True,Adult_Race_bias1.csv
race,0.871535461073662,-0.0226033922564014,[0.80440494],False,Adult_Race_bias1.csv
sex,0.36408903558179356,-0.10055171570238419,[0.84706559],True,Adult_Race_bias2.csv
race,1.2289590671157895,0.027831977698135585,[0.84706559],False,Adult_Race_bias2.csv
sex,0.6120321654943504,-0.14783116097126206,[0.69069922],True,Adult_Race_bias4.csv
race,2.061812138797533,0.3079017746131395,[0.69069922],True,Adult_Race_bias4.csv
sex,0.9193295353737041,-0.0712645013463038,[0.81869444],False,Adult_Race_GenAlgo.csv
race,0.9263895849477295,-0.0670361800890904,[0.81869444],False,Adult_Race_GenAlgo.csv
