Sensitive Feature,Disparate Impact,Statistical Parity Difference,Consistency,Bias Detected,Dataset
age,0.6267346919008969,-0.21828122190110316,[0.62450271],True,Student_bias1.csv
gender,0.954359865260548,-0.025078608741794017,[0.62450271],False,Student_bias1.csv
age,1.4333673773124507,0.13835503097305352,[0.70235081],True,Student_GenAlgo_Sex.csv
gender,1.732659234292628,0.2085992824909081,[0.70235081],True,Student_GenAlgo_Sex.csv
age,0.586404481269693,-0.31114525262279974,[0.69416817],True,Student_orig.csv
gender,1.3630086373534953,0.1994681137128782,[0.69416817],True,Student_orig.csv
age,0.6600200706055229,-0.16118610443620962,[0.62518083],True,Student_bias2.csv
gender,0.6815043186767477,-0.17500887373482055,[0.62518083],True,Student_bias2.csv
age,0.6751649799647899,-0.2555227828510176,[0.7108047],True,Student_bias3.csv
gender,1.0942463708330878,0.06450667412418931,[0.7108047],False,Student_bias3.csv
age,0.73354026719328,-0.21551774186468353,[0.73037975],True,Student_bias4.csv
gender,0.9671140123960486,-0.025467618934936653,[0.73037975],False,Student_bias4.csv
age,0.837438309768292,-0.08563474655591602,[0.62590416],False,Student_Age_bias1.csv
gender,1.2721309769145903,0.11717722013674514,[0.62590416],True,Student_Age_bias1.csv
age,1.172808962539386,0.06500153636802597,[0.6272604],False,Student_Age_bias2.csv
gender,1.2371518532606398,0.0804731224431991,[0.6272604],False,Student_Age_bias2.csv
age,0.8090092192787957,-0.1436811377902638,[0.70994575],True,Student_Age_bias3.csv
gender,1.2878086625388279,0.17423892038019018,[0.70994575],True,Student_Age_bias3.csv
age,0.9578363869763099,-0.03171941530222555,[0.72350814],False,Student_Age_bias4.csv
gender,1.2326988624953084,0.15059624327299193,[0.72350814],True,Student_Age_bias4.csv
age,0.6958428451279587,-0.2574650308640456,[0.86903255],True,Student_GenAlgo_Age.csv
gender,1.156612249155703,0.10850260399022549,[0.86903255],True,Student_GenAlgo_Age.csv
