Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference,dataset
ORIGINAL,Sex,0.8029778,0.8068139986317849,0.5258201128881562,-0.16814614203772754,-0.03690406612674291,0.19444243647231824,-0.11567325129953057,Adult_Race_bias3
ORIGINAL,Race,0.8029778,0.8068139986317849,1.522852189983502,0.14615884548930885,0.0674208900392419,0.07642978963089733,0.07192533983506962,Adult_Race_bias3
MMRW,Sex,0.79479617,0.8031359308238011,1.0000000000000007,1.6653345369377348e-16,0.07768013692911413,0.10289987201959186,-0.012609867545238865,Adult_Race_bias3
MMRW,Race,0.79479617,0.8031359308238011,1.0,0.0,-0.005166151790932605,0.0334315932432247,-0.019298872517078652,Adult_Race_bias3
RW_SEX_RACE,Sex,0.79671264,0.8036200014416335,0.9133934988311401,-0.026720735750343727,0.06473866577607079,0.11385492819936713,-0.024558131211648168,Adult_Race_bias3
RW_SEX_RACE,Race,0.79671264,0.8036200014416335,1.0000000000000002,5.551115123125783e-17,-0.007368289221006963,0.03700632627218345,-0.022187307746595206,Adult_Race_bias3
RW_RACE_SEX,Sex,0.79450136,0.8026500221746271,1.0000000000000007,1.6653345369377348e-16,0.07582240961843534,0.10244922267637357,-0.013313406528969118,Adult_Race_bias3
RW_RACE_SEX,Race,0.79450136,0.8026500221746271,1.167246979200491,0.048981210602318026,0.011386407280621125,0.011386407280621125,0.0023734426478374954,Adult_Race_bias3
ORIGINAL,Sex,0.79700744,0.8095440929646676,0.3621510335442035,-0.13903256208591966,-0.15669138738937827,0.2032566940306703,-0.17997404071002426,Adult_Race_bias1
ORIGINAL,Race,0.79700744,0.8095440929646676,0.871535461073662,-0.0226033922564014,0.01225231418960393,0.047119562029119655,-0.017433623919757862,Adult_Race_bias1
MMRW,Sex,0.7845507,0.8024887548378382,1.0,0.0,0.03544838234588554,0.0761299559799476,-0.020340786817031026,Adult_Race_bias1
MMRW,Race,0.7845507,0.8024887548378382,1.0,0.0,0.03416897881012604,0.03416897881012604,0.0036970351185579287,Adult_Race_bias1
