age,education-num,race,sex,capital-gain,capital-loss,hours-per-week,Probability
55,10,1,1,0.0,0.0,50,0
17,7,1,0,0.0,0.0,20,0
53,12,1,0,0.0,0.0,20,0
27,10,1,1,0.0,0.0,40,0
44,10,1,1,0.0,0.0,40,0
33,15,1,1,0.0,0.0,60,1
48,13,1,1,0.0,0.0,40,0
37,16,1,1,0.0,0.0,50,1
44,9,1,0,0.0,0.0,25,0
51,10,0,0,0.0,0.0,20,0
38,14,1,1,0.0,0.0,50,1
48,14,1,1,0.0,0.0,40,0
27,10,1,0,0.0,0.0,40,0
23,13,0,0,0.0,0.0,24,0
33,15,1,0,0.0,0.0,40,0
25,9,1,1,0.0,0.0,50,0
55,14,1,1,0.0,0.0,20,0
58,10,0,0,0.0,0.0,40,0
65,10,0,0,0.0,0.0,40,0
37,9,1,1,0.0,0.0,40,0
55,16,1,1,0.0,0.0,30,0
34,9,0,0,0.0,0.0,40,0
62,13,1,1,0.0,0.0,48,0
26,11,1,1,0.0,0.0,40,0
29,10,1,1,0.0,0.0,40,0
24,13,1,1,0.0,0.0,40,0
49,13,1,0,0.0,0.0,40,1
26,11,1,0,0.0,0.0,40,0
31,8,1,1,0.0,0.0,40,0
22,13,0,1,0.0,0.0,40,0
23,12,1,0,0.0,0.0,24,0
25,13,1,0,0.0,0.0,10,0
63,9,1,0,0.0,0.0,36,0
40,13,1,0,0.0,0.0,40,0
40,12,1,1,0.0,0.0,40,0
29,16,1,0,0.0,0.0,60,0
57,13,0,0,0.0,0.0,55,1
36,9,1,1,0.0,0.0,40,1
59,9,1,1,0.0,0.0,45,1
49,9,0,0,0.0,0.0,40,0
66,14,1,1,0.0,0.0,40,1
47,9,1,1,0.0,0.0,40,0
57,9,0,1,0.0,0.0,40,0
22,9,1,0,0.0,0.0,40,0
54,9,0,0,0.0,0.0,40,0
35,9,0,1,0.0,0.0,40,1
44,14,1,0,0.0,0.0,40,0
22,10,1,1,0.0,0.0,20,0
29,10,1,0,0.0,0.0,40,0
51,13,1,0,0.0,0.0,40,0
29,10,0,1,0.0,0.0,40,0
36,8,1,1,0.0,0.0,60,0
34,13,1,0,0.0,0.0,8,0
59,9,1,1,0.0,0.0,60,0
24,9,0,0,0.0,0.0,40,0
41,14,1,1,0.0,0.0,40,1
58,9,0,0,0.0,0.0,40,0
44,14,1,1,0.0,0.0,40,1
59,9,1,0,0.0,0.0,40,1
33,13,1,1,0.0,0.0,40,0
52,14,0,0,0.0,0.0,30,0
35,11,1,0,0.0,0.0,42,0
54,16,1,0,0.0,0.0,20,0
29,13,0,1,0.0,0.0,50,0
49,10,0,0,0.0,0.0,12,0
42,9,1,0,0.0,0.0,29,0
23,9,1,1,0.0,0.0,24,0
42,14,0,1,0.0,0.0,40,0
46,14,1,0,0.0,0.0,35,1
39,9,1,1,0.0,0.0,60,1
46,9,1,0,0.0,0.0,40,0
63,9,1,0,0.0,0.0,40,0
43,10,1,1,0.0,0.0,12,1
37,10,1,1,0.0,0.0,40,0
50,13,1,1,0.0,0.0,65,1
37,13,1,1,0.0,0.0,50,1
50,13,1,1,0.0,0.0,40,0
22,10,1,0,0.0,0.0,20,0
19,10,1,1,0.0,0.0,16,0
26,11,1,0,0.0,0.0,40,0
47,13,0,0,0.0,0.0,40,0
55,10,1,1,0.0,0.0,30,0
52,12,1,0,0.0,0.0,42,0
53,6,1,0,0.0,0.0,40,0
54,5,1,1,0.0,0.0,40,0
43,14,1,0,0.0,0.0,40,1
53,6,1,1,0.0,0.0,25,0
59,13,1,0,0.0,0.0,45,1
30,9,1,0,0.0,0.0,40,0
45,10,0,0,0.0,0.0,24,0
54,13,1,0,0.0,0.0,40,0
55,10,0,1,0.0,0.0,50,1
39,13,1,1,0.0,0.0,37,0
47,7,1,1,0.0,0.0,40,0
59,9,1,0,0.0,0.0,35,0
53,13,1,1,0.0,0.0,40,0
33,9,1,1,0.0,0.0,70,0
31,9,1,1,0.0,0.0,32,0
19,10,1,0,0.0,0.0,9,0
39,9,0,0,0.0,0.0,40,0
25,10,1,0,0.0,0.0,37,0
30,14,1,0,0.0,0.0,20,0
24,9,1,1,0.0,0.0,50,0
50,13,1,1,0.0,0.0,40,0
52,12,0,0,0.0,0.0,40,0
58,13,1,0,0.0,0.0,40,0
29,9,1,0,0.0,0.0,40,0
33,9,1,1,0.0,0.0,40,0
49,9,0,0,0.0,0.0,40,0
51,9,1,1,0.0,0.0,36,0
18,9,1,0,0.0,0.0,30,0
