age,workclass,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,sex,Probability
39,0,13,0,1,0,1,0,0,40,1,0,1
50,0,13,1,4,1,1,0,0,13,1,0,1
20,1,9,1,0,0,1,0,0,40,1,0,1
53,1,7,1,0,1,0,0,0,40,1,0,1
28,1,13,1,4,0,1,0,0,40,0,0,0
37,1,9,1,4,0,1,0,0,40,1,0,0
24,1,5,0,0,0,0,0,0,16,0,0,0
52,0,9,1,4,1,1,0,0,45,1,1,1
31,1,14,0,4,0,1,14084,0,50,1,1,0
42,1,13,1,4,1,1,5178,0,40,1,1,1
37,1,10,1,4,1,0,0,0,80,1,1,1
30,0,13,1,1,1,0,0,0,40,0,1,1
23,1,13,0,1,0,0,0,0,30,1,0,0
32,1,12,0,2,0,0,0,0,50,1,0,1
34,1,4,1,2,1,0,0,0,45,0,0,1
25,0,9,0,1,0,1,0,0,35,1,0,1
41,1,9,0,1,0,1,0,0,40,1,0,1
38,1,7,1,2,0,1,0,0,50,1,0,1
43,0,14,0,4,1,1,0,0,45,1,1,0
40,1,16,0,4,1,1,0,0,60,1,1,1
54,1,9,0,0,0,0,0,0,20,1,0,0
35,0,5,1,1,1,0,0,0,40,1,0,1
43,1,7,1,2,1,1,0,2042,40,1,0,1
59,1,9,0,3,0,1,0,0,40,1,0,0
56,0,13,1,3,1,1,0,0,40,1,1,1
19,1,9,0,2,0,1,0,0,40,1,0,1
39,1,9,0,4,0,1,0,0,80,1,0,1
49,1,9,1,2,1,1,0,0,40,1,0,1
23,0,12,0,3,0,1,0,0,52,1,0,1
39,1,10,0,2,0,0,0,0,44,1,0,1
45,1,13,0,4,0,1,0,1408,40,1,0,1
30,1,10,1,1,0,1,0,0,40,1,0,1
22,0,10,1,0,1,0,0,0,15,1,0,1
48,1,7,0,1,0,1,0,0,40,0,0,1
21,1,10,0,1,0,1,0,0,40,1,0,1
19,1,9,0,1,0,1,0,0,25,1,0,0
48,0,12,1,4,1,1,0,0,40,1,0,1
31,1,5,1,1,1,1,0,0,43,1,0,1
53,0,13,1,4,1,1,0,0,40,1,0,1
24,1,13,1,3,1,1,0,0,50,1,0,1
49,1,9,0,1,0,1,0,0,40,1,0,0
25,1,9,0,0,0,1,0,0,35,1,0,1
57,0,13,1,4,1,0,0,0,40,1,1,1
53,1,9,1,1,1,1,0,0,38,1,0,1
44,1,14,0,4,0,1,0,0,40,1,0,0
33,0,11,1,2,1,1,0,0,30,1,0,1
31,1,11,0,4,0,1,0,0,43,1,0,1
25,1,10,1,4,0,0,0,0,40,1,0,0
47,1,15,1,4,0,1,0,1902,60,1,1,0
50,0,13,0,4,0,1,0,0,55,1,1,1
47,0,9,0,4,0,1,0,0,60,1,0,1
43,1,10,1,3,1,1,0,0,40,1,1,1
46,1,3,1,1,1,1,0,0,40,0,0,1
35,1,11,1,0,1,1,0,0,40,0,0,1
41,0,9,1,1,1,1,0,0,48,1,0,1
27,1,9,1,1,1,1,5013,0,40,1,0,1
30,1,13,1,2,1,1,2407,0,40,1,0,1
48,1,9,1,2,1,1,0,0,40,1,0,1
42,1,16,1,4,1,1,0,0,45,1,1,1
29,1,10,0,3,0,1,0,0,58,1,0,1
36,1,9,1,2,1,1,0,0,40,1,0,1
28,1,10,0,1,0,1,0,0,40,1,0,0
53,1,9,1,1,0,1,0,0,40,1,1,0
49,0,10,1,4,1,1,0,0,50,1,1,1
19,1,9,0,4,0,1,0,0,32,1,0,1
17,1,13,0,2,0,0,0,0,40,1,0,0
29,0,13,1,2,1,1,0,0,70,1,1,1
23,1,10,0,1,0,1,0,0,40,1,0,1
79,1,10,1,4,0,1,0,0,20,1,0,1
27,1,9,0,0,0,1,0,0,40,0,0,1
40,1,12,1,1,1,1,0,0,40,1,0,1
18,1,7,0,0,0,1,0,0,22,1,0,0
31,0,4,1,1,1,1,0,0,40,1,0,1
18,1,9,0,2,0,1,0,0,30,1,0,1
52,1,13,1,0,1,1,0,0,40,0,0,1
46,1,9,1,0,0,1,0,0,40,1,0,0
59,1,9,1,2,1,1,0,0,48,1,0,1
44,1,9,0,2,0,1,14344,0,40,1,1,0
53,1,9,0,2,0,1,0,0,35,1,0,0
49,0,9,1,3,1,1,0,0,40,1,1,1
33,0,14,1,4,1,1,0,0,50,1,0,1
30,1,5,0,2,0,1,0,0,40,1,0,1
43,0,16,0,4,0,1,0,0,50,1,1,0
57,1,11,1,4,1,1,0,0,40,1,0,1
37,1,10,0,2,0,1,0,0,40,1,0,0
28,1,10,0,1,0,0,0,0,25,1,0,0
34,0,13,1,3,1,1,0,0,40,1,1,1
29,0,10,0,0,0,1,0,0,50,1,0,1
48,0,16,1,4,1,1,0,1902,60,1,1,1
37,1,10,1,2,1,1,0,0,48,1,1,1
48,1,12,0,4,0,1,0,0,40,0,0,0
32,0,9,0,0,0,0,0,0,40,1,0,1
76,1,14,1,4,1,1,0,0,40,1,1,1
44,1,13,1,4,1,1,15024,0,60,1,1,1
47,0,14,0,4,0,1,0,0,50,1,0,0
20,1,10,0,3,0,1,0,0,40,1,0,0
29,1,9,0,2,0,1,0,0,40,1,0,1
32,0,9,1,2,1,1,7688,0,40,1,1,1
30,1,7,0,0,0,1,0,0,40,1,0,1
23,0,9,0,1,0,1,0,0,40,1,0,0
42,1,9,1,0,1,1,0,0,40,1,0,1
24,1,13,0,2,0,1,0,0,40,1,0,1
38,1,15,1,0,1,1,0,0,40,1,1,1
56,0,6,0,0,1,1,0,1887,50,0,1,1
28,1,10,1,2,0,1,4064,0,25,1,0,0
36,1,9,0,1,0,1,0,0,40,1,0,0
53,1,5,1,2,1,1,0,0,50,1,0,1
56,0,10,1,2,1,1,0,0,50,1,0,1
49,0,11,1,2,1,0,0,0,40,1,1,1
55,1,10,1,2,1,1,0,0,56,1,0,1
22,1,9,0,2,0,1,0,0,41,1,0,1
21,1,10,0,2,0,1,0,0,40,1,0,0
40,1,13,1,4,1,1,0,0,60,1,0,1
30,1,13,0,3,0,0,0,0,40,0,0,1
29,0,13,1,4,1,1,0,0,50,1,1,1
19,1,10,0,0,0,0,0,0,35,1,0,1
47,1,13,1,1,0,1,0,0,40,1,1,0
20,1,10,0,1,0,1,0,1719,28,1,0,0
31,1,12,1,1,0,1,0,0,40,1,1,1
39,1,10,0,2,0,1,0,0,40,1,0,1
28,1,12,0,2,0,1,0,0,60,1,0,0
24,1,9,0,0,0,1,0,1762,40,1,0,0
38,0,9,1,2,1,1,4386,0,35,1,0,1
37,1,13,1,4,1,1,0,0,50,1,0,1
46,1,12,0,3,0,0,0,0,36,1,0,0
38,0,14,1,4,1,1,0,0,40,0,1,1
43,0,9,0,2,0,1,0,0,60,1,0,1
27,1,11,1,1,0,1,0,0,35,1,0,0
20,1,10,0,2,0,1,0,0,50,1,0,1
49,1,10,1,2,1,0,0,0,40,1,1,1
61,0,13,1,2,1,1,0,0,40,1,0,1
27,1,10,0,2,0,1,0,0,40,1,0,0
19,1,10,0,0,0,1,0,0,30,0,0,1
45,1,11,0,2,0,1,0,1564,40,1,1,0
70,1,10,0,3,0,1,0,0,40,1,0,1
31,1,9,0,2,0,0,0,0,30,1,0,0
22,1,10,1,1,1,1,0,0,24,1,0,1
36,1,9,0,0,0,1,0,0,24,1,0,0
64,1,7,1,4,0,1,0,2179,40,1,0,1
47,0,10,0,4,0,1,0,0,38,0,0,0
34,1,9,0,1,0,1,0,0,40,1,0,0
33,1,13,0,4,0,0,0,0,40,0,0,0
21,1,9,0,2,0,1,0,0,35,1,0,1
48,1,9,1,2,1,1,0,0,46,1,0,1
60,1,13,0,0,0,1,0,0,40,1,0,1
71,0,10,0,2,0,0,0,1816,2,1,0,1
29,1,9,0,2,0,1,0,0,60,1,0,1
42,1,13,0,0,0,0,0,0,50,1,0,1
25,1,9,0,0,0,1,0,0,40,1,0,0
44,0,14,0,4,0,1,0,0,40,1,0,0
55,1,9,0,2,0,0,2597,0,40,0,0,0
45,0,14,1,2,1,1,0,0,40,1,1,1
35,1,10,0,0,0,1,0,0,40,0,0,0
39,0,12,0,4,0,1,0,0,42,1,0,1
46,0,14,0,3,0,1,0,0,40,1,0,1
40,1,7,0,0,0,1,0,0,16,1,0,1
66,0,11,0,4,0,1,0,0,20,1,0,0
27,1,9,0,0,0,1,0,1980,40,1,0,1
28,0,9,1,3,1,1,0,0,50,1,0,1
51,1,10,1,2,1,1,0,1977,40,1,1,1
27,1,13,0,2,0,1,0,0,50,1,0,1
26,0,13,1,4,1,1,0,0,40,1,1,1
27,1,9,0,2,0,1,0,0,25,1,0,0
21,1,9,0,1,0,0,0,0,40,1,0,1
34,1,9,0,0,0,0,0,0,40,1,0,1
18,1,12,0,0,0,1,0,0,12,1,0,1
33,1,13,1,4,1,1,0,0,65,1,0,1
44,0,10,1,4,1,0,0,0,38,1,1,1
43,1,9,0,1,0,1,0,0,40,1,0,0
30,1,10,0,2,0,0,0,0,45,1,0,1
40,1,4,1,1,1,1,0,0,40,0,1,1
37,0,10,1,1,1,1,0,0,42,1,1,1
34,1,13,1,1,1,0,0,0,40,1,0,1
41,0,13,0,4,0,1,0,0,40,1,0,0
31,1,14,1,4,0,1,0,0,50,1,0,0
58,0,16,1,4,1,1,0,0,1,1,1,1
38,1,10,0,1,0,0,0,0,28,1,0,0
24,1,10,1,1,1,1,0,0,40,1,0,1
41,0,9,1,2,1,0,0,0,40,1,0,1
47,1,10,1,3,1,1,0,0,45,1,0,1
41,0,13,1,3,1,1,0,0,24,1,0,1
23,1,3,1,2,0,1,0,0,40,0,0,1
36,1,10,0,2,0,1,0,0,40,1,0,1
40,0,14,0,4,0,1,14084,0,55,0,1,0
35,1,14,1,4,0,1,7298,0,40,1,1,1
24,0,16,0,2,0,1,0,0,40,1,0,1
26,1,14,0,4,1,1,0,1876,40,1,0,0
51,1,13,1,2,1,1,0,0,50,1,1,1
42,0,10,0,4,0,1,0,1340,40,1,0,0
37,0,9,0,1,0,1,0,0,35,1,0,0
18,1,7,0,2,0,1,0,0,40,1,0,0
36,1,13,1,0,1,0,7298,0,36,1,1,1
41,1,9,0,2,0,1,0,0,60,1,0,1
58,0,9,1,2,0,1,15024,0,35,1,1,0
17,1,7,0,2,0,1,0,0,12,1,0,0
44,0,9,1,2,1,0,0,0,40,1,0,1
37,1,9,1,2,1,1,0,0,40,1,1,1
35,1,10,0,2,0,0,0,0,40,1,0,0
60,1,9,1,2,1,0,0,0,40,1,0,1
54,0,4,1,1,1,0,0,0,40,1,1,1
37,1,13,0,4,0,0,0,0,60,1,1,1
50,1,12,0,2,0,1,0,0,40,1,0,0
38,1,13,1,2,1,1,0,0,50,0,0,1
45,1,13,1,4,1,1,0,0,55,1,0,1
25,1,6,0,2,0,1,0,0,40,1,0,1
31,1,10,1,0,1,1,0,0,40,1,0,1
90,1,9,0,4,1,0,0,2206,40,1,0,1
54,1,10,1,1,1,0,0,0,20,1,0,1
53,0,1,0,1,0,1,0,0,35,1,0,0
18,1,9,0,1,0,1,0,0,40,1,0,0
66,0,9,1,1,1,1,1409,0,50,1,0,1
75,1,11,0,1,0,1,0,0,20,1,0,0
65,1,9,0,1,1,1,0,0,40,1,0,0
35,1,7,0,2,0,0,3674,0,40,1,0,1
41,1,9,0,2,0,0,0,0,38,1,0,0
25,1,10,0,0,0,1,0,0,42,1,0,1
33,1,10,0,2,0,0,0,0,40,1,0,0
28,1,15,0,4,0,1,0,0,55,1,1,1
