age,education-num,race,sex,capital-gain,capital-loss,hours-per-week,Probability
50,14,1,1,0.0,0.0,20,0
48,9,1,1,0.0,0.0,40,0
34,12,0,1,0.0,0.0,40,0
49,10,1,1,0.0,0.0,40,0
28,13,1,1,0.0,0.0,40,0
40,14,1,1,0.0,0.0,40,1
36,9,1,0,0.0,0.0,40,0
31,7,1,1,0.0,0.0,45,1
41,9,1,1,0.0,0.0,35,0
50,9,1,0,0.0,0.0,40,0
35,10,1,1,0.0,0.0,40,1
37,9,1,1,0.0,0.0,40,0
31,9,0,1,0.0,0.0,40,0
29,3,1,1,0.0,0.0,45,0
24,5,1,1,0.0,0.0,40,0
54,10,0,1,0.0,0.0,40,0
56,10,1,0,0.0,0.0,40,0
47,9,1,1,0.0,0.0,40,0
30,10,1,1,0.0,0.0,45,0
50,2,1,0,0.0,0.0,40,0
38,13,1,0,0.0,0.0,32,0
19,9,1,1,0.0,0.0,12,0
19,10,1,1,0.0,0.0,30,0
19,10,0,1,0.0,0.0,20,0
34,9,1,0,0.0,0.0,40,0
24,10,1,1,0.0,0.0,40,0
37,11,0,1,0.0,0.0,40,1
42,14,1,0,0.0,0.0,45,0
68,13,0,0,0.0,0.0,40,0
30,9,0,0,0.0,0.0,40,0
19,10,1,0,0.0,0.0,28,0
53,14,1,0,0.0,0.0,60,0
38,9,1,1,0.0,0.0,40,0
59,14,1,1,0.0,0.0,40,0
29,13,1,0,0.0,0.0,40,0
17,7,1,1,0.0,0.0,12,0
59,16,1,1,0.0,0.0,65,1
42,15,1,1,0.0,0.0,40,1
32,14,0,1,0.0,0.0,40,1
54,12,1,0,0.0,0.0,40,0
62,10,1,0,0.0,0.0,40,0
25,13,1,0,0.0,0.0,40,0
59,13,0,0,0.0,0.0,40,0
44,10,0,1,0.0,0.0,35,0
31,9,0,0,0.0,0.0,40,0
23,5,1,1,0.0,0.0,35,0
43,9,1,1,0.0,0.0,60,0
28,10,0,0,0.0,0.0,24,0
18,9,0,0,0.0,0.0,16,0
68,7,1,0,0.0,0.0,40,0
58,13,1,1,0.0,0.0,40,0
