,status,duration,credit_history,purpose,amount,savings,employment,installment_rate,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_risk,sex,marital_status
0,A11,6,A34,A43,1169,A65,A75,4,A101,4,A121,1,A143,A152,2,A173,1,A192,A201,1,1,0
1,A12,48,A32,A43,5951,A61,A73,2,A101,2,A121,0,A143,A152,1,A173,1,A191,A201,0,0,1
2,A14,30,A32,A46,2096,A61,A74,3,A101,3,A121,1,A142,A152,1,A173,2,A191,A201,0,1,0
3,A11,42,A32,A42,7882,A61,A74,2,A103,4,A122,1,A143,A153,1,A173,2,A191,A201,1,1,0
4,A11,24,A33,A40,4870,A61,A73,3,A101,4,A124,1,A143,A153,2,A173,2,A191,A201,0,1,0
5,A11,12,A30,A46,9055,A61,A73,3,A101,4,A123,1,A141,A153,1,A172,2,A192,A201,0,1,0
6,A14,24,A32,A42,2835,A63,A75,3,A101,4,A122,1,A143,A152,1,A173,1,A191,A201,1,1,0
7,A12,36,A32,A41,6948,A61,A73,2,A101,2,A123,1,A143,A151,1,A174,1,A192,A201,1,1,0
8,A14,12,A32,A43,3059,A64,A74,2,A101,4,A121,1,A143,A152,1,A172,1,A191,A201,1,1,1
9,A12,30,A34,A40,5234,A61,A71,4,A101,2,A123,1,A143,A152,2,A174,1,A191,A201,0,1,1
10,A12,12,A32,A40,1295,A61,A72,3,A101,1,A123,0,A143,A151,1,A173,1,A191,A201,0,0,1
11,A11,48,A32,A49,4308,A61,A72,3,A101,4,A122,0,A143,A151,1,A173,1,A191,A201,0,0,1
12,A12,12,A32,A43,1567,A61,A73,1,A101,1,A123,0,A143,A152,1,A173,1,A192,A201,1,0,1
13,A11,24,A34,A40,1199,A61,A75,4,A101,4,A123,1,A143,A152,2,A172,1,A191,A201,0,1,0
14,A11,18,A32,A40,1403,A61,A73,2,A101,4,A124,1,A143,A151,1,A173,1,A191,A201,0,0,1
15,A11,24,A32,A43,1282,A62,A73,4,A101,2,A123,1,A143,A152,1,A172,1,A191,A201,0,0,1
16,A12,12,A32,A43,2424,A61,A75,3,A101,4,A123,1,A143,A152,2,A173,1,A191,A201,0,1,0
17,A11,30,A30,A49,8072,A65,A72,2,A101,3,A123,0,A141,A152,3,A173,1,A191,A201,1,1,0
