credit_history,amount,employment,residence_since,housing,job,telephone,foreign_worker,sex,marital_status,age,credit_risk
0,1169,4,4,1,1,1,1,1,0,1,1
1,9629,2,2,1,1,0,1,0,1,0,0
0,2096,3,3,1,0,0,1,1,0,1,1
1,7882,3,4,1,1,0,1,1,0,1,1
0,4870,2,4,0,0,0,1,1,0,0,1
1,9055,2,4,0,0,1,1,1,0,1,1
1,2835,4,4,1,1,0,1,1,0,1,1
1,6948,2,2,0,2,1,1,1,0,1,1
1,3059,3,4,1,0,0,1,1,1,1,1
0,5234,0,2,1,2,0,1,1,1,0,1
1,1295,1,1,0,1,0,1,0,1,0,0
1,4308,1,4,0,1,0,1,0,1,0,0
1,1567,2,1,1,1,1,1,0,0,1,0
0,1199,4,4,0,0,0,1,1,0,0,1
1,1403,2,4,0,1,0,1,0,1,1,1
1,1282,2,2,1,0,0,1,0,1,0,1
0,2424,2,4,1,1,0,1,1,1,1,1
1,8072,1,3,1,1,0,1,1,0,1,0
1,12579,4,2,1,2,1,1,1,1,0,1
1,3430,4,2,1,1,1,1,1,0,1,1
0,2134,2,4,1,1,1,1,1,0,1,1
1,2647,2,3,0,1,0,1,1,0,1,1
0,2241,4,3,0,0,0,0,1,0,1,1
0,1804,4,4,1,2,0,1,1,0,1,1
0,2069,2,1,1,1,0,0,1,1,1,1
1,1374,2,2,1,0,1,1,1,0,1,1
1,426,4,4,1,0,0,1,1,1,1,1
1,409,2,3,0,1,0,1,0,1,1,1
1,2415,2,2,1,1,0,1,1,0,1,1
0,6836,4,4,0,1,1,1,1,0,0,1
1,1913,1,3,1,1,1,1,1,1,1,1
1,4020,2,2,1,1,0,1,1,0,1,1
1,5866,2,2,1,1,1,1,1,0,1,1
0,1264,4,4,0,0,0,1,1,0,1,1
1,1474,1,1,1,2,1,1,0,1,1,1
1,4746,1,2,0,1,0,1,1,0,0,0
0,6110,2,3,0,1,1,1,1,0,1,1
1,2100,2,2,1,1,0,1,1,0,0,1
1,1225,2,2,1,1,1,1,1,0,1,1
1,458,2,3,1,1,0,1,1,0,1,0
1,2333,4,2,1,2,0,1,1,0,1,1
1,1158,2,1,1,1,1,1,1,1,1,1
0,6204,2,4,1,0,1,1,1,0,1,1
1,6187,3,4,0,1,0,1,1,1,1,0
0,6143,4,4,0,0,0,1,0,1,0,1
0,1393,1,4,1,2,0,1,0,1,1,1
0,2299,4,2,0,1,0,1,1,0,1,1
1,1352,0,2,0,0,1,1,0,1,1,0
0,4113,2,4,1,0,0,1,1,1,1,1
1,2073,2,2,1,1,0,1,0,1,1,1
0,2333,1,2,1,0,0,1,1,0,1,1
0,5965,4,2,1,2,1,1,1,0,1,1
1,1262,2,2,1,1,0,1,1,0,1,0
1,3378,2,1,1,1,1,1,1,0,1,1
0,2225,4,4,0,1,1,1,1,0,0,1
1,783,2,2,1,0,0,1,1,0,1,1
1,6468,1,1,1,2,1,1,1,0,0,1
0,9566,2,2,1,1,0,1,0,1,1,1
1,10144,4,2,1,0,0,1,0,1,1,0
0,6229,1,4,0,0,1,1,0,1,0,0
1,1391,2,1,1,1,1,1,1,1,1,1
1,1537,4,4,1,1,1,1,1,0,1,1
1,1953,4,4,0,2,1,1,1,0,0,1
1,14421,2,2,1,1,1,1,1,0,0,0
1,3181,1,4,1,1,1,1,0,1,1,1
1,5190,4,4,1,1,1,1,1,0,1,1
1,2171,1,2,1,1,0,1,0,1,1,1
1,1007,2,1,1,1,0,1,1,1,1,0
1,1819,3,4,0,1,1,1,1,0,0,1
1,2394,2,4,1,1,0,1,0,0,1,0
1,8133,2,2,1,1,0,1,0,1,1,1
0,9857,4,2,1,0,1,1,1,1,1,1
0,1164,4,4,0,2,1,1,1,0,1,1
0,2511,3,1,1,0,0,1,0,1,1,1
1,1977,4,4,1,0,1,1,1,0,0,1
0,1526,4,4,1,2,0,1,1,0,1,1
1,3965,1,3,1,1,0,1,1,0,0,1
0,4771,3,4,1,1,0,1,1,0,1,1
1,1149,2,2,1,0,0,1,1,0,1,1
1,3832,1,1,1,1,0,1,1,1,1,0
1,5943,1,4,1,1,1,1,0,1,0,1
1,1213,4,3,1,1,1,1,1,0,1,1
1,1568,1,4,0,0,0,1,1,1,1,0
1,1755,4,4,1,0,1,1,0,1,1,1
1,2315,4,1,1,0,0,1,1,0,1,1
