credit_history,amount,employment,residence_since,age,housing,job,telephone,foreign_worker,sex,marital_status,credit_risk
0,1552,4,4,67,1,1,0,1,1,1,0
1,5951,2,2,22,1,1,0,1,0,0,1
1,8358,3,3,49,1,0,0,1,1,1,0
1,2299,3,4,45,0,1,0,1,1,1,0
0,4870,2,4,28,0,1,0,1,1,0,0
1,3160,2,4,35,0,0,1,1,1,1,0
1,2835,4,4,53,1,1,0,1,1,1,0
1,6948,2,2,35,0,2,1,1,1,1,0
1,3059,3,4,61,1,0,0,1,1,1,1
0,5234,0,2,28,1,2,0,1,0,0,1
1,1295,1,1,25,0,1,0,1,0,0,1
1,4308,1,4,24,0,1,0,1,0,0,1
1,1567,2,1,37,1,1,1,1,0,1,1
0,1199,4,4,60,1,0,0,1,1,0,0
1,1403,2,4,28,0,1,0,1,0,1,1
1,1282,2,2,32,1,0,0,1,0,0,1
0,2424,4,4,26,1,1,0,1,1,1,0
1,929,1,3,25,1,1,0,1,1,1,0
1,12579,4,2,44,0,2,1,1,0,0,1
1,1572,4,2,31,1,1,1,1,1,1,0
1,2134,2,4,48,1,1,1,1,1,1,0
1,2647,2,3,49,0,1,0,1,1,1,0
0,2241,1,3,48,0,0,0,0,1,1,0
0,1804,1,4,44,1,1,0,1,1,1,0
0,2069,2,1,26,1,1,0,0,1,1,1
1,1374,2,2,36,1,0,0,1,1,1,0
1,426,4,4,39,1,0,0,1,1,1,1
1,3441,2,3,42,0,1,0,1,0,1,1
1,2415,2,2,34,1,1,0,1,1,1,0
0,1203,3,4,63,1,1,1,1,1,0,0
1,1913,1,3,36,1,1,1,1,1,1,1
1,4020,2,2,27,1,1,0,1,1,1,0
1,5866,2,2,30,1,1,1,1,1,1,0
0,1264,4,4,43,0,0,0,1,1,1,0
1,1474,1,1,33,1,2,1,1,0,1,1
0,4746,1,2,25,1,0,0,1,1,0,0
0,6110,2,3,31,0,1,1,1,1,1,0
1,2100,2,2,37,1,1,0,1,1,0,0
1,1225,2,2,37,1,1,1,1,1,1,0
1,458,2,3,24,1,1,0,1,1,1,0
1,2333,2,2,30,1,2,0,1,1,1,0
1,2359,2,1,26,1,1,1,1,1,1,1
0,1238,2,4,44,1,0,1,1,1,1,0
1,6187,3,4,24,0,1,0,1,1,1,1
0,6143,4,4,35,0,0,0,1,0,0,1
0,1393,1,4,35,1,2,0,1,0,1,1
1,2299,4,4,39,1,1,0,1,1,1,0
1,1352,0,2,23,0,0,1,1,0,1,1
0,7228,2,4,39,1,0,0,1,1,1,0
1,1979,2,2,28,1,1,0,1,0,1,1
0,2333,1,2,29,1,0,0,1,1,1,0
0,5965,4,2,30,1,2,1,1,1,1,0
1,1262,2,2,25,1,1,0,1,1,1,0
1,3378,2,1,31,1,1,1,1,1,1,0
0,2225,4,4,57,0,1,1,1,1,0,0
1,783,2,2,26,1,0,0,1,1,1,0
1,6468,0,2,52,1,2,1,1,1,0,0
0,9566,4,4,31,1,1,0,1,0,1,1
1,1961,4,2,43,1,2,0,1,0,1,1
0,6229,1,4,23,0,0,1,1,0,0,1
1,1391,2,1,27,1,1,1,1,1,1,1
0,1537,4,4,50,1,1,1,1,1,1,0
1,1953,4,4,45,0,2,1,1,0,0,0
1,14421,2,2,25,1,1,1,1,1,0,0
1,3181,1,4,26,1,1,1,1,0,1,1
1,1526,4,4,48,1,1,1,1,1,1,0
1,2171,4,2,29,1,1,0,1,0,1,1
0,2223,2,1,22,1,1,0,1,1,1,1
1,1819,2,4,37,0,1,1,1,1,0,0
1,2394,2,4,25,1,1,0,1,0,1,1
1,8133,2,2,30,1,1,0,1,0,1,1
0,730,4,2,46,0,1,1,1,1,1,0
0,1164,4,4,51,0,2,1,1,1,1,0
0,5954,3,1,41,1,0,0,1,0,1,1
1,1977,4,4,40,1,2,1,1,1,0,0
0,1893,4,4,66,0,2,0,1,1,1,0
1,2570,1,1,34,1,1,0,1,1,0,0
0,4771,3,4,51,1,1,0,1,1,1,0
1,9436,2,2,39,1,0,0,1,1,1,0
1,3832,3,1,22,1,1,0,1,1,1,1
1,5943,1,1,44,1,1,1,1,0,0,1
1,1213,4,3,47,1,1,1,1,1,1,0
1,3573,2,4,24,0,0,0,1,0,1,1
1,1755,4,4,31,1,0,1,1,0,1,1
0,2315,4,4,52,1,0,0,1,1,1,0
0,1922,2,2,29,1,2,1,1,0,1,1
0,1295,1,1,27,1,1,0,1,0,1,1
1,12612,2,4,47,0,1,1,1,1,0,0
1,2249,3,3,30,1,2,1,1,1,1,0
1,1108,3,3,28,1,1,0,1,0,0,0
0,618,4,4,56,1,1,0,1,1,1,0
0,1409,4,3,54,1,1,0,1,1,1,0
0,797,4,3,33,1,0,0,1,0,0,1
0,3617,4,4,20,0,1,0,1,1,1,0
1,1318,4,4,54,1,1,1,1,1,1,0
1,15945,1,4,58,0,1,1,1,1,0,0
1,2012,3,2,61,1,1,0,1,0,1,1
1,2622,2,4,34,1,1,0,1,1,1,0
0,2337,4,4,36,1,1,0,1,1,1,0
0,7057,3,4,36,0,2,1,1,1,1,0
0,1469,4,4,41,0,0,0,1,1,1,1
1,2323,3,4,24,0,1,0,1,1,1,0
1,932,2,2,24,1,1,0,1,0,1,1
0,1919,3,3,24,0,1,1,1,1,1,0
1,2445,1,4,26,0,1,1,1,1,1,1
1,11938,2,3,39,1,2,1,1,1,0,0
1,6458,4,4,39,1,2,1,1,1,0,0
1,6078,3,2,32,1,1,0,1,1,1,0
1,7721,1,2,30,1,1,1,0,0,1,1
1,1410,4,2,35,1,1,1,1,1,1,1
0,1449,4,2,31,1,1,0,1,1,1,1
1,368,1,4,57,0,1,1,1,1,1,1
1,6260,3,3,28,0,0,0,1,1,1,0
0,7855,2,2,25,1,1,1,1,0,0,1
1,1680,3,1,35,1,1,0,1,1,1,1
0,3578,4,1,47,1,1,1,1,1,1,0
1,7174,3,3,24,1,2,1,1,0,0,1
0,2132,1,3,27,0,1,0,0,0,1,1
0,4281,2,4,23,1,1,0,1,0,0,1
0,2366,3,3,36,1,2,1,1,1,1,1
1,1835,2,2,25,1,1,1,1,0,0,1
0,3868,4,4,41,0,2,1,1,0,1,1
1,1768,4,2,24,0,0,0,1,1,1,0
0,781,4,4,63,0,1,1,1,1,1,0
1,1924,1,4,27,0,1,0,1,0,0,1
0,2121,2,2,30,1,1,0,1,1,1,0
1,701,2,2,40,1,0,0,1,1,1,1
1,639,2,2,30,1,1,0,1,1,0,0
0,1860,0,2,34,1,2,1,1,1,1,0
0,3499,2,2,29,1,1,1,1,0,0,1
1,8487,3,2,24,1,1,0,1,0,1,1
0,6887,0,3,29,1,1,1,1,1,0,0
1,7865,4,3,27,1,0,0,1,1,1,0
1,1984,2,4,47,0,1,0,1,1,1,0
1,10144,3,1,21,1,1,1,1,0,1,1
0,1240,4,2,38,1,1,1,1,0,1,1
0,8613,2,2,27,1,1,0,1,1,1,0
1,766,2,3,66,1,1,0,1,1,0,0
0,2728,3,2,35,1,1,1,1,1,1,0
1,1881,2,2,44,0,0,1,1,0,1,1
1,1530,1,2,27,1,0,0,1,1,1,1
1,4795,1,1,30,1,2,1,1,0,1,1
1,3416,2,2,27,1,2,0,1,1,1,0
1,2462,2,2,22,1,1,0,1,0,0,0
0,2288,1,4,23,1,1,1,1,0,1,1
1,3566,3,2,30,1,1,0,1,1,1,0
0,860,4,4,39,1,1,1,1,0,1,1
0,3915,3,3,51,1,1,1,1,0,1,1
0,5371,2,2,28,1,1,0,1,1,1,0
0,1582,4,4,46,1,1,0,1,1,1,0
1,1346,4,4,23,0,1,1,1,1,1,0
1,1924,2,4,40,1,1,1,0,1,1,0
1,5848,2,1,24,1,1,0,1,1,1,0
0,433,4,4,29,0,1,0,1,0,1,1
0,6967,3,1,36,0,2,1,1,1,1,0
1,1282,2,4,20,0,1,0,1,0,0,1
0,1288,4,4,48,1,1,0,0,1,1,0
1,339,4,1,45,1,0,0,1,1,1,1
1,1331,3,3,38,1,1,1,1,1,1,0
0,1898,2,2,34,1,0,0,1,1,1,0
0,2872,4,4,36,1,1,1,1,1,1,0
0,1287,1,1,30,1,1,0,1,0,1,1
1,1262,3,3,36,1,1,1,1,1,1,0
1,7308,0,4,70,0,2,1,1,1,1,0
1,909,4,4,36,1,1,0,1,1,1,0
1,2978,2,2,32,1,1,1,1,1,1,0
1,1131,2,1,33,1,1,0,1,0,0,1
1,1577,1,1,26,1,1,0,1,0,1,1
1,7057,3,4,25,0,1,1,1,0,1,1
0,1935,4,4,31,1,0,1,1,0,0,1
1,950,4,3,33,0,1,0,1,1,0,0
1,763,2,1,26,1,1,1,1,0,1,1
0,1175,0,2,34,0,2,1,1,0,0,1
1,1414,2,2,33,1,1,0,0,1,1,0
0,3414,1,4,26,1,0,0,1,1,0,0
1,7485,0,1,25,1,2,1,1,0,0,1
1,2577,2,4,42,1,1,0,1,1,1,1
0,338,4,4,52,1,1,0,1,1,1,0
1,1963,3,2,31,0,2,0,1,1,1,0
0,571,4,4,65,1,1,0,1,1,1,0
