Model,Protected Attribute,Accuracy,Balanced Accuracy,Disparate Impact,Statistical Parity Difference,Equal Opportunity Difference,Equalized Odds Difference,Average Odds Difference,dataset
ORIGINAL,Sex,0.75666666,0.697124235036569,0.8965673282047968,-0.07480130902290782,-0.04878943506969913,0.2715121136173768,-0.16015077434353797,German_orig
ORIGINAL,Age,0.75666666,0.697124235036569,0.7948260481712757,-0.14944769330734242,-0.1817444219066937,0.35821596244131454,-0.26998019217400415,German_orig
MMRW,Sex,0.74,0.6650579630827405,0.9999999999999999,-1.1102230246251565e-16,0.0029347028613353476,0.06098579782790314,-0.029025547483283898,German_orig
MMRW,Age,0.74,0.6650579630827405,1.0000000000000002,2.220446049250313e-16,0.0024340770791074773,0.04413145539906105,-0.020848689159976785,German_orig
RW_SEX_AGE,Sex,0.74,0.6650579630827405,1.0379545551958014,0.026259247005897213,0.0029347028613353476,0.06098579782790314,-0.029025547483283898,German_orig
RW_SEX_AGE,Age,0.74,0.6650579630827405,1.0000000000000002,2.220446049250313e-16,0.0024340770791074773,0.04413145539906105,-0.020848689159976785,German_orig
RW_AGE_SEX,Sex,0.74,0.6650579630827405,1.0000000000000002,2.220446049250313e-16,0.0029347028613353476,0.06098579782790314,-0.029025547483283898,German_orig
RW_AGE_SEX,Age,0.74,0.6650579630827405,1.0178092573414808,0.012424437774727015,0.0024340770791074773,0.04413145539906105,-0.020848689159976785,German_orig
ORIGINAL,Sex,0.7,0.6980125383486728,1.2782488479262673,0.14114071996259936,0.10417422867513604,0.10417422867513604,0.0831107744051682,German_bias1
ORIGINAL,Age,0.7,0.6980125383486728,0.8653421633554084,-0.07625000000000004,-0.10171428571428565,0.1952380952380952,-0.14847619047619043,German_bias1
MMRW,Sex,0.70666665,0.7054821928771509,1.0,0.0,-0.009800362976406518,0.15765330758087884,-0.08372683527864268,German_bias1
MMRW,Age,0.70666665,0.7054821928771509,1.0,0.0,-0.06171428571428572,0.16190476190476194,-0.11180952380952383,German_bias1
RW_SEX_AGE,Sex,0.70666665,0.7054821928771509,1.0478054078762813,0.025957166728118763,0.01796733212341195,0.15765330758087884,-0.06984298772873344,German_bias1
RW_SEX_AGE,Age,0.70666665,0.7054821928771509,1.0,0.0,-0.018000000000000016,0.16190476190476194,-0.08995238095238098,German_bias1
RW_AGE_SEX,Sex,0.71,0.7066159797252234,0.9999999999999998,-1.1102230246251565e-16,-0.02214156079854812,0.0915016900048286,-0.056821625401688364,German_bias1
RW_AGE_SEX,Age,0.71,0.7066159797252234,0.9169560028619936,-0.04653818977219859,-0.06657142857142861,0.2142857142857143,-0.14042857142857146,German_bias1
ORIGINAL,Sex,0.7033333,0.706060606060606,1.7895483870967743,0.28606825619448345,0.407075682937752,0.407075682937752,0.38805918419577196,German_bias2
ORIGINAL,Age,0.7033333,0.706060606060606,0.9866863905325445,-0.006020066889632081,-0.016363636363636358,0.06566722972972971,-0.041015433046683036,German_bias2
MMRW,Sex,0.7,0.6915824915824915,1.0000000000000002,1.1102230246251565e-16,0.11397223466188988,0.11397223466188988,0.04807604687922508,German_bias2
MMRW,Age,0.7,0.6915824915824915,1.0,0.0,-0.15636363636363637,0.15636363636363637,-0.13561425061425061,German_bias2
RW_SEX_AGE,Sex,0.7,0.6915824915824915,1.0474296977879667,0.021082178946503327,0.11397223466188988,0.11397223466188988,0.04807604687922508,German_bias2
RW_SEX_AGE,Age,0.7,0.6915824915824915,1.0000000000000002,5.551115123125783e-17,-0.15636363636363637,0.15636363636363637,-0.13561425061425061,German_bias2
RW_AGE_SEX,Sex,0.69,0.6838383838383839,1.0000000000000002,1.1102230246251565e-16,0.0879982086878639,0.0879982086878639,0.032498897132991214,German_bias2
RW_AGE_SEX,Age,0.69,0.6838383838383839,0.8155524395957185,-0.08640856999405089,-0.2727272727272727,0.2727272727272727,-0.2307470823095823,German_bias2
ORIGINAL,Sex,0.74,0.6397571755684541,1.0393044152821773,0.02842449742870501,-0.02218844984802426,0.06654456654456653,0.022178058348271135,German_bias3
ORIGINAL,Age,0.74,0.6397571755684541,0.8460704019092044,-0.11586905191243813,-0.055734767025089615,0.2032051282051282,-0.1294699476151089,German_bias3
MMRW,Sex,0.74,0.6332605570051654,0.9999999999999997,-2.220446049250313e-16,-0.03637284701114485,0.03637284701114485,-0.0007871561063050314,German_bias3
MMRW,Age,0.74,0.6332605570051654,0.9999999999999999,-1.1102230246251565e-16,-0.029032258064516148,0.029032258064516148,-0.017400744416873448,German_bias3
RW_SEX_AGE,Sex,0.7366667,0.6308908887587199,1.0325976266179604,0.02362293377413216,-0.029280648429584555,0.034798534798534786,0.0027589431844751156,German_bias3
RW_SEX_AGE,Age,0.7366667,0.6308908887587199,1.0000000000000002,2.220446049250313e-16,-0.023476702508960612,0.023476702508960612,-0.01462296663909568,German_bias3
RW_AGE_SEX,Sex,0.74666667,0.6444965120613452,1.0000000000000002,2.220446049250313e-16,-0.03637284701114485,0.0421245421245422,-0.03924869456784352,German_bias3
RW_AGE_SEX,Age,0.74666667,0.6444965120613452,0.9806753404292341,-0.014194818530514741,-0.029032258064516148,0.029032258064516148,-0.0020161290322580627,German_bias3
ORIGINAL,Sex,0.75333333,0.6360557437121759,1.1374361626478766,0.09939223936418895,0.054777902202314266,0.09682539682539681,0.07580164951385554,German_bias4
ORIGINAL,Age,0.75333333,0.6360557437121759,0.8780228854547599,-0.09395335183230702,-0.023386034255599486,0.23253968253968255,-0.12796285839764102,German_bias4
MMRW,Sex,0.74333334,0.614263505635445,0.9999999999999999,-1.1102230246251565e-16,0.027435610302351643,0.033333333333333326,0.030384471817842484,German_bias4
MMRW,Age,0.74333334,0.614263505635445,0.9999999999999996,-3.3306690738754696e-16,0.00691699604743079,0.0984126984126984,-0.0457478511826338,German_bias4
RW_SEX_AGE,Sex,0.75,0.6151518516462162,1.0311423536350344,0.023257191973083513,0.0264091078760732,0.08333333333333337,0.054871220604703286,German_bias4
RW_SEX_AGE,Age,0.75,0.6151518516462162,1.0000000000000002,2.220446049250313e-16,0.026350461133069936,0.04841269841269835,-0.011031118639814208,German_bias4
RW_AGE_SEX,Sex,0.75333333,0.6248958969518628,0.9999999999999996,-3.3306690738754696e-16,0.033501306457633495,0.033501306457633495,0.008417319895483444,German_bias4
RW_AGE_SEX,Age,0.75333333,0.6248958969518628,0.9555835437094926,-0.033751021229550204,-0.0039525691699604515,0.14841269841269833,-0.07618263379132939,German_bias4
ORIGINAL,Sex,0.7,0.701921366304928,0.9547858276044421,-0.023983169705469876,-0.1081508241137954,0.1081508241137954,-0.0773333982328738,German_Age_bias1
ORIGINAL,Age,0.7,0.701921366304928,1.1354657831018224,0.06907082521117613,-0.019157088122605415,0.0370967741935484,0.008969843035471492,German_Age_bias1
MMRW,Sex,0.69666666,0.6981409001956947,0.9999999999999998,-1.1102230246251565e-16,-0.14495371415669445,0.14495371415669445,-0.08583385315531342,German_Age_bias1
MMRW,Age,0.69666666,0.6981409001956947,0.9999999999999998,-1.1102230246251565e-16,-0.20866489832007074,0.20866489832007074,-0.1812141695901429,German_Age_bias1
RW_SEX_AGE,Sex,0.69666666,0.6976071873332148,0.9683415992036895,-0.016721622008733172,-0.1817566041995936,0.1817566041995936,-0.13253718496921582,German_Age_bias1
RW_SEX_AGE,Age,0.69666666,0.6976071873332148,0.9999999999999993,-3.3306690738754696e-16,-0.22605363984674332,0.22605363984674332,-0.1778117661599308,German_Age_bias1
RW_AGE_SEX,Sex,0.6933333,0.6952499555239281,0.9999999999999998,-1.1102230246251565e-16,-0.1314066380672838,0.1314066380672838,-0.07952734294546707,German_Age_bias1
