age,education-num,race,sex,capital-gain,capital-loss,hours-per-week,Probability
35,9,1,0,0.0,0.0,40,0
26,13,1,0,0.0,0.0,40,0
27,10,1,1,0.0,0.0,40,0
38,13,1,1,0.0,0.0,40,0
46,16,0,1,0.0,0.0,80,0
60,14,1,0,0.0,0.0,7,0
41,10,1,0,0.0,0.0,45,0
42,8,1,0,0.0,0.0,44,1
21,9,1,1,0.0,0.0,40,0
53,9,1,0,0.0,0.0,40,0
24,13,1,1,0.0,0.0,40,0
58,6,0,1,0.0,0.0,40,0
18,7,1,0,0.0,0.0,20,0
29,9,1,1,0.0,0.0,40,0
42,9,1,0,0.0,0.0,25,0
30,10,0,0,0.0,0.0,40,0
34,13,1,0,0.0,0.0,40,0
25,6,1,1,0.0,0.0,40,0
23,10,1,1,0.0,0.0,40,0
51,13,1,1,12633.0,0.0,45,0
18,7,1,1,314.0,0.0,30,0
38,9,1,0,0.0,0.0,40,0
46,10,1,0,0.0,0.0,32,0
36,13,1,0,0.0,1826.0,40,0
44,9,1,0,0.0,0.0,40,0
46,9,1,0,0.0,0.0,48,0
44,6,0,0,4076.0,0.0,40,0
25,9,1,0,0.0,0.0,35,0
28,9,0,0,0.0,0.0,40,0
39,13,1,1,0.0,0.0,40,0
41,6,0,1,0.0,0.0,40,0
28,13,1,1,0.0,0.0,50,0
17,7,1,0,0.0,0.0,22,0
18,7,1,0,0.0,0.0,40,0
32,10,1,1,0.0,0.0,56,0
40,9,0,1,0.0,2577.0,72,0
33,12,1,1,0.0,0.0,50,1
43,10,1,1,0.0,0.0,40,0
49,14,1,1,0.0,1945.0,50,1
20,10,1,0,0.0,0.0,18,0
22,10,1,1,0.0,0.0,40,0
47,10,1,1,7398.0,0.0,40,0
62,9,1,1,3993.0,0.0,45,0
37,10,1,1,0.0,0.0,40,0
26,9,1,1,0.0,0.0,60,0
54,13,1,0,0.0,0.0,50,0
32,14,1,1,0.0,0.0,38,0
28,9,1,0,0.0,0.0,40,0
35,9,1,1,4305.0,0.0,40,0
22,10,1,0,0.0,0.0,20,0
34,10,1,1,0.0,0.0,40,0
20,6,1,1,0.0,0.0,40,0
39,3,1,1,0.0,0.0,40,0
43,13,1,1,0.0,0.0,50,0
17,6,0,0,0.0,0.0,18,0
68,15,1,1,19217.0,0.0,40,1
37,9,1,1,2186.0,0.0,65,0
33,14,1,1,0.0,0.0,40,1
31,10,0,0,0.0,0.0,40,0
52,14,1,0,0.0,0.0,50,0
23,13,1,0,0.0,0.0,36,0
48,12,1,0,0.0,0.0,38,0
27,9,1,1,0.0,0.0,55,0
43,10,1,1,0.0,0.0,55,0
78,9,1,1,0.0,0.0,20,0
31,13,1,0,0.0,0.0,40,0
20,10,1,1,0.0,0.0,30,0
27,13,1,0,0.0,0.0,40,0
30,9,1,0,0.0,0.0,20,0
52,13,1,1,14399.0,0.0,50,1
50,12,1,1,0.0,0.0,40,0
44,9,1,1,0.0,0.0,44,0
58,10,1,1,0.0,0.0,40,1
38,13,1,0,0.0,0.0,30,0
33,13,1,1,9424.0,0.0,60,1
59,9,1,1,0.0,0.0,40,1
46,9,1,0,0.0,0.0,35,0
33,13,1,0,0.0,0.0,50,0
20,9,1,1,0.0,0.0,40,0
41,9,1,1,0.0,0.0,40,0
50,9,1,0,0.0,0.0,40,0
39,10,1,0,0.0,0.0,35,0
48,2,1,1,0.0,0.0,37,0
28,12,1,0,0.0,0.0,30,0
19,10,1,1,0.0,0.0,24,0
44,6,1,1,2893.0,0.0,40,0
37,13,1,1,0.0,0.0,55,0
19,9,0,0,14399.0,0.0,40,1
51,13,1,1,0.0,0.0,38,0
29,13,1,0,0.0,0.0,60,0
48,11,1,0,6538.0,0.0,40,0
44,13,1,1,0.0,0.0,40,1
43,9,1,0,2186.0,0.0,50,0
32,13,0,0,0.0,0.0,36,0
42,9,1,1,0.0,0.0,40,0
21,9,1,1,0.0,0.0,60,0
26,11,1,1,0.0,0.0,40,0
45,9,1,1,0.0,1831.0,60,0
65,9,1,0,0.0,0.0,20,0
41,9,1,1,0.0,0.0,40,0
50,12,1,0,0.0,0.0,36,0
53,13,1,0,0.0,0.0,50,0
59,5,1,0,0.0,0.0,48,0
63,9,1,0,0.0,0.0,20,0
40,6,1,0,0.0,0.0,40,0
41,9,1,1,0.0,0.0,40,0
28,14,1,0,0.0,0.0,20,0
23,10,1,1,0.0,0.0,40,0
48,1,1,0,0.0,0.0,40,0
45,10,1,1,6538.0,0.0,40,0
51,7,1,1,0.0,0.0,40,0
25,9,1,0,0.0,0.0,25,0
34,11,0,1,0.0,0.0,40,0
26,2,1,1,0.0,0.0,40,0
67,13,1,1,19217.0,0.0,45,1
59,9,0,0,0.0,0.0,40,1
62,8,1,0,0.0,0.0,40,0
30,9,1,0,0.0,0.0,40,0
26,13,1,0,0.0,0.0,35,0
42,13,1,0,99997.0,0.0,60,1
68,9,1,0,0.0,0.0,2,0
42,9,1,1,0.0,0.0,40,0
23,9,1,1,0.0,0.0,40,0
31,9,0,1,0.0,0.0,45,0
44,9,0,1,0.0,0.0,30,0
23,9,1,0,0.0,0.0,40,0
38,9,1,1,0.0,0.0,40,0
33,13,1,1,0.0,0.0,40,0
25,11,1,1,0.0,0.0,40,0
60,9,1,0,0.0,0.0,37,0
25,9,1,1,0.0,0.0,40,0
30,15,1,1,0.0,0.0,99,0
45,9,1,1,14399.0,0.0,40,0
54,10,1,1,0.0,0.0,40,1
24,9,1,0,0.0,0.0,40,0
