dataset,sensitive_feature,technique,acc,f1,prec,SPD,EOPD,EOD,AOD,DI,FR
Adult_Census_orig,sex,Fair-SMOTE,0.7852957435046988,0.6094127111826226,0.5669910179640718,0.21,0.16,0.16,0.02,0.57,0.19281370923161967
Adult_Census_orig,sex,Random,0.8138197899391929,0.565979381443299,0.6949367088607595,0.1,0.0,0.02,-0.01,0.47,0.11199557766721946
Adult_Census_orig,sex,xFAIR,0.8137092316196793,0.6494695236114001,0.5999231360491929,0.12,0.09,0.09,0.04,0.37,
Adult_Census_orig,sex,FairC,0.8267551133222775,0.5359786793011548,0.7721843003412969,0.09,0.01,0.01,0.0,0.55,
Adult_Census_orig,race,Fair-SMOTE,0.7930348258706468,0.625749700119952,0.57920059215396,0.16,0.12,0.12,0.01,0.48,0.16196793808734108
Adult_Census_orig,race,Random,0.8180210060807076,0.6075345731998093,0.672650475184794,0.09,0.03,0.05,-0.01,0.41,0.12216694306246545
Adult_Census_orig,race,xFAIR,0.841901603095633,0.6983122362869199,0.6528599605522682,0.09,0.11,0.11,0.05,0.3,
Adult_Census_orig,race,FairC,0.8325041459369817,0.5859524460235037,0.7372764786795049,0.07,-0.02,0.04,-0.03,0.41,
Adult_Race_bias1,sex,Fair-SMOTE,0.807739082365948,0.5210685761498209,0.45900048520135855,0.18,0.18,0.18,0.03,0.62,0.19502487562189055
Adult_Race_bias1,sex,Random,0.8558319513543394,0.4965250965250965,0.6303921568627451,0.07,-0.04,0.04,-0.03,0.49,0.0838032061912659
Adult_Race_bias1,sex,xFAIR,0.8392482034273079,0.5836197021764032,0.5183112919633774,0.09,0.12,0.12,0.06,0.35,
Adult_Race_bias1,sex,FairC,0.8694306246545053,0.43735111958075273,0.8010471204188482,0.05,0.02,0.02,0.0,0.62,
Adult_Race_bias1,race,Fair-SMOTE,0.7970149253731343,0.5106609808102346,0.4390467461044913,0.12,0.13,0.13,0.01,0.45,0.15478164731896074
Adult_Race_bias1,race,Random,0.8552791597567717,0.5139249907166729,0.616206589492431,0.05,0.08,0.08,0.02,0.39,0.07982310668877833
Adult_Race_bias1,race,xFAIR,0.8497512437810946,0.6164267569856055,0.541398116013882,0.04,0.12,0.12,0.05,0.19,
Adult_Race_bias1,race,FairC,0.8705362078496407,0.5206713057715923,0.693565976008724,0.04,0.06,0.06,0.02,0.36,
Adult_Race_bias2,sex,Fair-SMOTE,0.8388059701492537,0.45311327831957987,0.39867986798679866,0.16,0.2,0.2,0.05,0.72,0.1640685461580984
