dataset,sensitive_feature,technique,acc,f1,prec,SPD,EOPD,EOD,AOD,DI,FR
Adult_Census_orig,sex,Fair-SMOTE,0.789607518,0.614387031,0.575332068,0.2,0.15,0.15,0.02,0.57,0.183305694
Adult_Census_orig,sex,Random,0.81381979,0.565979381,0.694936709,0.1,0,0.02,-0.01,0.47,0.111995578
Adult_Census_orig,sex,xFAIR,0.812382532,0.648726972,0.596725057,0.12,0.1,0.1,0.05,0.37,
Adult_Census_orig,sex,FairC,0.826755113,0.535978679,0.7721843,0.09,0.01,0.01,0,0.55,
Adult_Census_orig,race,Fair-SMOTE,0.788501935,0.624828398,0.569131833,0.17,0.14,0.14,0.02,0.51,0.166832504
Adult_Census_orig,race,Random,0.818021006,0.607534573,0.672650475,0.09,0.03,0.05,-0.01,0.41,0.122166943
Adult_Census_orig,race,xFAIR,0.839248203,0.696450939,0.645261122,0.09,0.11,0.11,0.04,0.31,
Adult_Census_orig,race,FairC,0.832504146,0.585952446,0.737276479,0.07,-0.02,0.04,-0.03,0.41,
Adult_Census_bias1,sex,Fair-SMOTE,0.805085683,0.522092708,0.467702768,0.13,0.13,0.13,0.02,0.48,0.18684356
Adult_Census_bias1,sex,Random,0.854173577,0.499810391,0.654419067,0.05,-0.02,0.02,-0.02,0.39,0.076838032
Adult_Census_bias1,sex,xFAIR,0.830514096,0.561624249,0.508544795,0.07,0.11,0.11,0.05,0.3,
Adult_Census_bias1,sex,FairC,0.866556108,0.454093171,0.778294574,0.04,0,0.01,0,0.44,
Adult_Census_bias1,race,Fair-SMOTE,0.800331675,0.517885745,0.458412098,0.15,0.11,0.11,0,0.58,0.182200111
Adult_Census_bias1,race,Random,0.857048093,0.535059331,0.64639444,0.07,0.06,0.06,0.02,0.48,0.085572139
Adult_Census_bias1,race,xFAIR,0.851741294,0.612315698,0.559429477,0.06,0.09,0.09,0.03,0.29,
Adult_Census_bias1,race,FairC,0.862465451,0.4679213,0.708549223,0.04,-0.01,0.02,-0.02,0.4,
Adult_Census_bias2,sex,Fair-SMOTE,0.818131564,0.430204364,0.372079089,0.09,0.08,0.08,0,0.41,0.185848535
Adult_Census_bias2,sex,Random,0.883250415,0.441860465,0.620178042,0.02,-0.03,0.03,-0.02,0.26,0.055168601
Adult_Census_bias2,sex,xFAIR,0.842454395,0.485373781,0.422375864,0.05,0.14,0.14,0.06,0.25,
Adult_Census_bias2,sex,FairC,0.892426755,0.402701044,0.727272727,0.02,0,0.01,0,0.4,
Adult_Census_bias2,race,Fair-SMOTE,0.813488115,0.434461951,0.36713881,0.13,0.16,0.16,0.02,0.62,0.167827529
Adult_Census_bias2,race,Random,0.882144831,0.452772074,0.604109589,0.03,0.01,0.01,0,0.36,0.055831951
Adult_Census_bias2,race,xFAIR,0.862244334,0.540560472,0.477835724,0.05,0.14,0.14,0.06,0.3,
Adult_Census_bias2,race,FairC,0.889994472,0.400241109,0.69022869,0.03,0.05,0.05,0.02,0.44,
Adult_Census_bias3,sex,Fair-SMOTE,0.727252626,0.636832033,0.639373337,0.07,0.14,0.14,0.04,0.18,0.194472084
Adult_Census_bias3,sex,Random,0.739856274,0.609460581,0.70210325,0,0.05,0.05,0.02,0.01,0.168933112
