Sensitive Feature,Disparate Impact,Statistical Parity Difference,Consistency,Bias Detected,Dataset
sex,0.7250010267843993,-0.2340484658729136,[0.74981204],True,Adult_Census_GenAlgo.csv
race,0.8129569573085499,-0.1296421664862425,[0.74981204],True,Adult_Census_GenAlgo.csv
sex,0.460180372053476,-0.13088129246220495,[0.797184],True,Adult_Census_2015.csv
race,0.8123740158132213,-0.03490793142867743,[0.797184],False,Adult_Census_2015.csv
sex,0.40985070515512967,-0.13407907242319278,[0.817688],True,Adult_Census_2010.csv
race,0.787496956857663,-0.03562754502170157,[0.817688],True,Adult_Census_2010.csv
sex,0.3900574105819508,-0.1403796537028419,[0.816688],True,Adult_Census_2005.csv
race,0.7350358019518523,-0.04498797606752948,[0.816688],True,Adult_Census_2005.csv
sex,0.36938387652756793,-0.1095959248042238,[0.87972],True,Adult_Census_2000.csv
race,0.7311433034514636,-0.033729510156568276,[0.87972],True,Adult_Census_2000.csv
sex,0.3634695423643793,-0.198901432678815,[0.74790146],True,Adult_Census_orig.csv
race,0.6037688467181627,-0.10395937026830099,[0.74790146],True,Adult_Census_orig.csv
sex,0.5144309335039112,-0.10257918923684857,[0.8006457],True,Adult_Census_bias1.csv
race,0.6207893586505622,-0.07124516303686197,[0.8006457],True,Adult_Census_bias1.csv
sex,0.7187711466485198,-0.04145608281461201,[0.83824687],True,Adult_Census_bias2.csv
race,0.6321268574511397,-0.051942708069323426,[0.83824687],True,Adult_Census_bias2.csv
sex,1.1848099303094972,0.06437805218040404,[0.67203131],False,Adult_Census_bias3.csv
race,0.8581982964836761,-0.05342122115865727,[0.67203131],False,Adult_Census_bias3.csv
sex,1.6072799861154983,0.22592717274261187,[0.64303658],True,Adult_Census_bias4.csv
race,0.9569890907535562,-0.019274919461288342,[0.64303658],False,Adult_Census_bias4.csv
