dataset,sensitive_feature,technique,acc,f1,prec,SPD,EOPD,EOD,AOD,DI,FR
German_orig,sex,Fair-SMOTE,0.615,0.6751054852320675,0.8333333333333334,0.0,-0.03,0.05,-0.04,0.01,0.05
German_orig,sex,Random,0.69,0.8037974683544303,0.7257142857142858,0.1,0.04,0.23,-0.1,0.11,0.045
German_orig,sex,xFAIR,0.565,0.6419753086419753,0.7722772277227723,0.16,0.09,0.28,-0.1,0.28,
German_orig,sex,FairC,0.71,0.8294117647058824,0.7121212121212122,0.03,0.02,0.04,-0.01,0.03,
German_orig,age,Fair-SMOTE,0.63,0.7109375,0.7913043478260869,0.47,-0.35,0.76,0.2,0.99,0.615
German_orig,age,Random,0.665,0.7632508833922261,0.7605633802816901,0.09,-0.16,0.16,-0.11,0.13,0.445
German_orig,age,xFAIR,0.67,0.7828947368421053,0.7345679012345679,0.01,0.04,0.13,0.08,0.01,
German_orig,age,FairC,0.705,0.8269794721407625,0.7085427135678392,0.01,-0.01,0.01,0.0,0.01,
German_bias1,sex,Fair-SMOTE,0.59,0.5494505494505495,0.7352941176470589,0.05,0.0,0.03,0.02,0.15,0.07
German_bias1,sex,Random,0.615,0.6451612903225806,0.6796116504854369,0.17,0.23,0.23,0.03,0.3,0.435
German_bias1,sex,xFAIR,0.54,0.4772727272727273,0.6666666666666666,0.12,0.24,0.24,0.12,0.34,
German_bias1,sex,FairC,0.605,0.6748971193415638,0.6307692307692307,0.2,-0.21,0.21,-0.04,0.35,
German_bias1,age,Fair-SMOTE,0.595,0.5803108808290155,0.7088607594936709,0.33,-0.23,0.44,0.1,1.0,0.24
German_bias1,age,Random,0.62,0.6161616161616161,0.7261904761904762,0.03,0.07,0.07,0.02,0.07,0.195
German_bias1,age,xFAIR,0.61,0.6454545454545455,0.6635514018691588,0.11,0.02,0.3,0.16,0.22,
German_bias1,age,FairC,0.605,0.6748971193415638,0.6307692307692307,0.16,-0.06,0.3,0.12,0.25,
German_bias2,sex,Fair-SMOTE,0.57,0.4880952380952381,0.5694444444444444,0.07,-0.1,0.1,-0.09,0.21,0.155
German_bias2,sex,Random,0.58,0.4473684210526316,0.6071428571428571,0.02,0.08,0.08,0.02,0.06,0.27
German_bias2,sex,xFAIR,0.59,0.5340909090909091,0.6025641025641025,0.09,0.19,0.19,0.06,0.21,
German_bias2,sex,FairC,0.585,0.5202312138728323,0.6,0.04,0.06,0.12,-0.03,0.11,
German_bias2,age,Fair-SMOTE,0.61,0.5666666666666667,0.6071428571428571,0.13,-0.02,0.22,0.1,0.33,0.095
German_bias2,age,Random,0.615,0.5157232704402516,0.6507936507936508,0.02,0.02,0.05,-0.02,0.06,0.225
German_bias2,age,xFAIR,0.645,0.6395939086294417,0.6363636363636364,0.18,-0.08,0.3,0.11,0.39,
