Domain,Sensitive,Source,Model,Model,Acc,F1,ROC,SPD,EOD,EOPD,AOD,DI
Adult,Sex,My_results,XGB,MyResults_XGB,0.868656716,0.711515678,0.928009526,-0.186857836,-0.115569081,0.122483615,-0.09167778,
Adult,Sex,My_results,LR,MyResults_LR,0.847982311,0.666504415,0.903777607,-0.190565423,-0.110351247,0.124006881,-0.098486391,
Adult,Sex,FairEDU,LR,FairEDU_LR,0.821,,,0.166,0.273,,0.172,
Adult,Sex,M3Fair,LR,M3Fair_LR,0.8007,,0.8216,-0.1989,-0.1672,,-0.2089,
Adult,Race,My_results,XGB,MyResults_XGB,0.868656716,0.711515678,0.928009526,-0.085664943,-0.032080823,0.039203089,-0.02554804,
Adult,Race,Biswas2020,XGB,Biswas_XGB,0.867,0.708,,-0.097,-0.073,,-0.051,-0.588
Adult,Race,My_results,LR,MyResults_LR,0.847982311,0.666504415,0.903777803,-0.089471266,-0.014856864,0.034296327,-0.024576595,
Adult,Race,M3Fair,LR,M3Fair_LR,0.8007,,0.8216,-0.104,-0.0604,,-0.0886,
Adult,Race,Biswas2020,LR,Biswas_LR,0.845,0.657,,-0.104,-0.1,,-0.069,-0.654
Adult,Race,FairEDU,LR,FairEDU_LR,0.821,,,0.088,0.118,,0.079,
German,Sex,My_results,RF,MyResults_RF,0.744911805,0.832409144,0.713991551,-0.154066561,-0.066764133,0.273391813,-0.151297046,
German,Sex,Biswas2020,RF,Biswas_RF,0.761,0.845,,-0.083,-0.023,,-0.085,-0.103
German,Sex,My_results,LR,MyResults_LR,0.715061058,0.800219059,0.734300752,-0.178452363,-0.161976121,0.273748608,-0.165952073,
German,Age,My_results,RF,MyResults_RF,0.744911805,0.832409144,0.713991551,-0.260352855,0.013197913,0.445598846,-0.216200466,
German,Age,My_results,LR,MyResults_LR,0.715061058,0.800219059,0.734300752,-0.340438074,-0.181438006,0.472582973,-0.32701049,
German,Age,Moldovan,LR,Moldovan_LR,0.712,,,-0.256,-0.224,,-0.195,0.59
Student,Sex,My_results,LR,MyResults_LR,0.88,0.914,0.921,0.275,0.083,0.12,0.091,
Student,Sex,FairEDU,LR,FairEDU_LR,0.843,,,0.411,0.19,,0.185,
