,,,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,M3Fair,M3Fair,M3Fair,M3Fair,M3Fair,M3Fair,RW1,RW1,RW1,RW1,RW1,RW1,RW2,RW2,RW2,RW2,RW2,RW2,FairC,FairC,FairC,FairC,FairC,FairC
Domain,Version,Sensitive Feature,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD
Adult,"Baseline (UCI Repo, 1994 Census)",Sex,0.7911845,0.363469542,-0.198901433,-0.133100284,0.249815298,-0.191457791,0.7958281,1,0,0.062717169,0.101198601,-0.019240716,0.79604924,1.021864905,0.005380859,0.064441902,0.096595449,-0.016076774,0.79604924,1,0,0.061719488,0.096337717,-0.017309114,0.82675511,0.55,0.09,0.01,0.01,0
Adult,Bias_Adjust_Flip_1 (Priv 0.3),Sex,0.79700744,0.362151034,-0.139032562,-0.156691387,0.203256694,-0.179974041,0.7845507,1,0,0.035448382,0.076129956,-0.020340787,0.7922901,1.002269816,0.000391917,0.047669656,0.068995846,-0.010663095,0.78491926,1,-2.78E-17,0.041845433,0.073429514,-0.015792041,0.86943062,0.62,0.05,0.02,0.02,0
Adult,Bias_Adjust_Flip_2 (Priv 0.5),Sex,0.7975971,0.364089036,-0.100551716,-0.15862069,0.191099083,-0.174859886,0.76214343,1,8.33E-17,0.030290737,0.066202824,-0.017956043,0.77636915,0.976186119,-0.003010708,0.034212306,0.064105254,-0.014946474,0.7626594,1,-5.55E-17,0.036781609,0.066559013,-0.014888702,0.90071863,0.63,0.03,0.02,0.02,0.01
Adult,Bias_Adjust_Flip_3 (UnderPriv 0.3),Sex,0.8029778,0.525820113,-0.168146142,-0.036904066,0.194442436,-0.115673251,0.79479617,1,1.67E-16,0.077680137,0.102899872,-0.012609868,0.79671264,0.913393499,-0.026720736,0.064738666,0.113854928,-0.024558131,0.79450136,1,1.67E-16,0.07582241,0.102449223,-0.013313407,0.80464345,0.32,0.07,-0.04,0.04,-0.02
Adult,Bias_Adjust_Flip_4 (UnderPriv 0.5),Sex,0.79604924,0.612032165,-0.147831161,-0.032854504,0.198599918,-0.115727211,0.7959755,1,-2.22E-16,0.070538093,0.09304485,-0.011253378,0.793322,0.86279165,-0.047766928,0.025558548,0.127301698,-0.050871575,0.79354316,1,-1.11E-16,0.066140364,0.101033588,-0.017446612,0.78916528,0.17,0.04,-0.08,0.08,-0.04
Adult,Genetic Algorithm Modification,Sex,0.8588487,0.919329535,-0.071264501,-0.004192286,0.012300123,-0.008246205,0.8587013,1,0,0.000710736,0.001823154,0.001266945,0.8587013,1.011182574,0.009585188,0.001113999,0.001823154,0.001468577,0.8587013,1,0,0.000710736,0.001823154,0.001266945,0.85527916,0,0,0,0.04,0.02
Adult,Year 2000,Sex,0.79653335,0.369383877,-0.109595925,-0.225628627,0.225628627,-0.20022223,0.7512,1,1.39E-17,0.009332689,0.027023884,0.018178286,0.751,1.010405529,0.001250693,0.010090264,0.028831011,0.019460638,0.7798667,1,-5.55E-17,0.004513217,0.025101613,0.014807415,0.9024,0.47,0.03,-0.02,0.02,-0.01
Adult,Year 2005,Sex,0.7772,0.390057411,-0.140379654,-0.193795094,0.208520305,-0.201157699,0.79546666,1,-2.78E-17,0.035369569,0.035369569,0.018491517,0.79553336,1.011306322,0.001820252,0.041253808,0.041253808,0.022548222,0.7966667,1,-5.55E-17,0.03695687,0.03695687,0.01879088,0.8511,0.45,0.04,0.01,0.01,0
Adult,Year 2010,Sex,0.7923333,0.409850705,-0.134079072,-0.189259607,0.189259607,-0.186033149,0.77973336,1,0,0.055668686,0.055668686,0.02339189,0.77926666,1.009187681,0.001469759,0.057404797,0.057404797,0.025353713,0.7795333,1,0,0.057751149,0.057751149,0.024496267,0.8483,0.42,0.03,0.03,0.03,0.02
