,,,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,M3Fair,M3Fair,M3Fair,M3Fair,M3Fair,M3Fair,RW1,RW1,RW1,RW1,RW1,RW1,RW2,RW2,RW2,RW2,RW2,RW2,FairC,FairC,FairC,FairC,FairC,FairC
Domain,Version,Sensitive Feature,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD
Adult,"Baseline (UCI Repo, 1994 Census)",Sex,0.75666666,0.896567328,-0.074801309,-0.048789435,0.271512114,-0.160150774,0.74,1,-1.11E-16,0.002934703,0.060985798,-0.029025547,0.74,1.037954555,0.026259247,0.002934703,0.060985798,-0.029025547,0.74,1,2.22E-16,0.002934703,0.060985798,-0.029025547,0.71,0.03,0.03,0.02,0.04,-0.01
Adult,Bias_Adjust_Flip_1 (Priv 0.3),Sex,0.7,0.954785828,-0.02398317,-0.108150824,0.108150824,-0.077333398,0.69666666,1,-1.11E-16,-0.144953714,0.144953714,-0.085833853,0.69666666,0.968341599,-0.016721622,-0.181756604,0.181756604,-0.132537185,0.6933333,1,-1.11E-16,-0.131406638,0.131406638,-0.079527343,0.54,0.02,0.02,0.04,0.04,0.02
Adult,Bias_Adjust_Flip_2 (Priv 0.5),Sex,0.7033333,0.982206406,-0.007246377,0.03372549,0.03372549,0.021863995,0.66333336,1,5.55E-17,0.04745098,0.04745098,0.031539944,0.67333335,0.884842738,-0.048367617,0.018039216,0.048887222,-0.015424003,0.66,1,-5.55E-17,0.04745098,0.04745098,0.03960446,0.6,0.25,0.1,-0.06,0.13,0.04
Adult,Bias_Adjust_Flip_3 (UnderPriv 0.3),Sex,0.7366667,0.965250719,-0.025432445,-0.02281746,0.087878788,-0.055348124,0.74333334,1,-1.11E-16,0.010912698,0.010912698,0.006971501,0.74,1.004216036,0.003048423,-0.006944444,0.040909091,-0.023926768,0.74,1,0,0.008928571,0.010606061,-0.000838745,0.73,0,0,0,0,0
Adult,Bias_Adjust_Flip_4 (UnderPriv 0.5),Sex,0.75,0.991179435,-0.006545115,-0.00020145,0.066502463,-0.033351957,0.75333333,1,0,-0.0227639,0.050492611,-0.036628255,0.76,0.985141283,-0.011046161,-0.03646253,0.050492611,-0.043477571,0.75666666,1,2.22E-16,-0.008058018,0.050492611,-0.029275314,0.755,0,0,0,0,0
Adult,"Baseline (UCI Repo, 1994 Census)",Age,0.75666666,0.794826048,-0.149447693,-0.181744422,0.358215962,-0.269980192,0.74,1,2.22E-16,0.002434077,0.044131455,-0.020848689,0.74,1,2.22E-16,0.002434077,0.044131455,-0.020848689,0.74,1.017809257,0.012424438,0.002434077,0.044131455,-0.020848689,0.705,0.01,0.01,-0.01,0.01,0
Adult,Bias_Adjust_Flip_1 (Priv 0.3),Age,0.7,1.135465783,0.069070825,-0.019157088,0.037096774,0.008969843,0.69666666,1,-1.11E-16,-0.208664898,0.208664898,-0.18121417,0.69666666,1,-3.33E-16,-0.22605364,0.22605364,-0.177811766,0.6933333,1.022847873,0.011897813,-0.139699381,0.139699381,-0.117430336,0.57,0.08,0.04,-0.05,0.16,-0.11
Adult,Bias_Adjust_Flip_2 (Priv 0.5),Age,0.7033333,1.589652096,0.214749838,0.18362069,0.18362069,0.120692332,0.66333336,1,-5.55E-17,-0.050862069,0.189026915,-0.119944492,0.67333335,1,-1.11E-16,-0.038362069,0.203726708,-0.121044389,0.66,1.043189247,0.01734919,-0.050862069,0.155693582,-0.103277825,0.57,0.03,0.01,-0.1,0.18,-0.14
Adult,Bias_Adjust_Flip_3 (UnderPriv 0.3),Age,0.7366667,0.96824264,-0.023131904,-0.062162162,0.074263764,-0.068212963,0.74333334,1,0,0.007154213,0.007154213,0.004857516,0.74,1,-1.11E-16,-0.068044515,0.074263764,-0.07115414,0.74,1.007483692,0.005410487,-0.041017488,0.041017488,-0.034913354,0.725,0.01,0.01,-0.01,0.01,0
Adult,Bias_Adjust_Flip_4 (UnderPriv 0.5),Age,0.75,1.083853702,0.061078622,0.014973262,0.061032864,0.038003063,0.75333333,1,-1.11E-16,-0.02459893,0.205633803,-0.115116367,0.76,1,3.33E-16,-0.036363636,0.205633803,-0.12099872,0.75666666,1.005697543,0.004211615,-0.001871658,0.205633803,-0.10375273,0.755,0.05,0.05,0.03,0.11,-0.04
