,,,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,M3Fair,M3Fair,M3Fair,M3Fair,M3Fair,M3Fair,RW1,RW1,RW1,RW1,RW1,RW1,RW2,RW2,RW2,RW2,RW2,RW2,FairC,FairC,FairC,FairC,FairC,FairC
Domain,Version,Sensitive Feature,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD
Adult,"Baseline (UCI Repo, 1994 Census)",Sex,0.75666666,0.896567328,-0.074801309,-0.048789435,0.271512114,-0.160150774,0.74,1,-1.11E-16,0.002934703,0.060985798,-0.029025547,0.74,1.037954555,0.026259247,0.002934703,0.060985798,-0.029025547,0.74,1,2.22E-16,0.002934703,0.060985798,-0.029025547,0.71,0.03,0.03,0.02,0.04,-0.01
Adult,Bias_Adjust_Flip_1 (Priv 0.3),Sex,0.7,1.278248848,0.14114072,0.104174229,0.104174229,0.083110774,0.70666665,1,0,-0.009800363,0.157653308,-0.083726835,0.70666665,1.047805408,0.025957167,0.017967332,0.157653308,-0.069842988,0.71,1,-1.11E-16,-0.022141561,0.09150169,-0.056821625,0.605,0.35,0.2,-0.21,0.21,-0.04
Adult,Bias_Adjust_Flip_2 (Priv 0.5),Sex,0.7033333,1.789548387,0.286068256,0.407075683,0.407075683,0.388059184,0.7,1,1.11E-16,0.113972235,0.113972235,0.048076047,0.7,1.047429698,0.021082179,0.113972235,0.113972235,0.048076047,0.69,1,1.11E-16,0.087998209,0.087998209,0.032498897,0.585,0.11,0.04,0.06,0.12,-0.03
Adult,Bias_Adjust_Flip_3 (UnderPriv 0.3),Sex,0.74,1.039304415,0.028424497,-0.02218845,0.066544567,0.022178058,0.74,1,-2.22E-16,-0.036372847,0.036372847,-0.000787156,0.7366667,1.032597627,0.023622934,-0.029280648,0.034798535,0.002758943,0.74666667,1,2.22E-16,-0.036372847,0.042124542,-0.039248695,0.745,0,0,0,0,0
Adult,Bias_Adjust_Flip_4 (UnderPriv 0.5),Sex,0.75333333,1.137436163,0.099392239,0.054777902,0.096825397,0.07580165,0.74333334,1,-1.11E-16,0.02743561,0.033333333,0.030384472,0.75,1.031142354,0.023257192,0.026409108,0.083333333,0.054871221,0.75333333,1,-3.33E-16,0.033501306,0.033501306,0.00841732,0.775,0,0,0,0,0
Adult,Genetic Algorithm Modification,Sex,0.80333334,0.893119572,-0.076190476,-0.113475177,0.113475177,-0.051746663,0.7866667,1,1.11E-16,-0.049983114,0.072595281,0.011306084,0.7866667,1.032619277,0.02228809,-0.049983114,0.11615245,0.033084668,0.7866667,1,-2.22E-16,-0.049983114,0.072595281,0.011306084,,,,,,
Adult,"Baseline (UCI Repo, 1994 Census)",Age,0.75666666,0.794826048,-0.149447693,-0.181744422,0.358215962,-0.269980192,0.74,1,2.22E-16,0.002434077,0.044131455,-0.020848689,0.74,1,2.22E-16,0.002434077,0.044131455,-0.020848689,0.74,1.017809257,0.012424438,0.002434077,0.044131455,-0.020848689,0.705,0.01,0.01,-0.01,0.01,0
Adult,Bias_Adjust_Flip_1 (Priv 0.3),Age,0.7,0.865342163,-0.07625,-0.101714286,0.195238095,-0.14847619,0.70666665,1,0,-0.061714286,0.161904762,-0.111809524,0.70666665,1,0,-0.018,0.161904762,-0.089952381,0.71,0.916956003,-0.04653819,-0.066571429,0.214285714,-0.140428571,0.605,0.25,0.16,-0.06,0.3,0.12
Adult,Bias_Adjust_Flip_2 (Priv 0.5),Age,0.7033333,0.986686391,-0.006020067,-0.016363636,0.06566723,-0.041015433,0.7,1,0,-0.156363636,0.156363636,-0.135614251,0.7,1,5.55E-17,-0.156363636,0.156363636,-0.135614251,0.69,0.81555244,-0.08640857,-0.272727273,0.272727273,-0.230747082,0.59,1.37,0.4,-0.3,0.51,0.11
Adult,Bias_Adjust_Flip_3 (UnderPriv 0.3),Age,0.74,0.846070402,-0.115869052,-0.055734767,0.203205128,-0.129469948,0.74,1,-1.11E-16,-0.029032258,0.029032258,-0.017400744,0.7366667,1,2.22E-16,-0.023476703,0.023476703,-0.014622967,0.74666667,0.98067534,-0.014194819,-0.029032258,0.029032258,-0.002016129,0.725,0.11,0.11,0.18,0.18,0.09
Adult,Bias_Adjust_Flip_4 (UnderPriv 0.5),Age,0.75333333,0.878022885,-0.093953352,-0.023386034,0.232539683,-0.127962858,0.74333334,1,-3.33E-16,0.006916996,0.098412698,-0.045747851,0.75,1,2.22E-16,0.026350461,0.048412698,-0.011031119,0.75333333,0.955583544,-0.033751021,-0.003952569,0.148412698,-0.076182634,0.775,0,0,0,0,0
Adult,Genetic Algorithm Modification,Age,0.80333334,0.618720817,-0.282584205,-0.136111111,0.136111111,-0.1053895,0.7866667,1,-2.22E-16,0.077777778,0.168575355,0.123176566,0.7866667,1,0,0.077777778,0.168575355,0.123176566,0.7866667,1.008848776,0.006095877,0.077777778,0.168575355,0.123176566,,,,,,
