,,,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,M3Fair,M3Fair,M3Fair,M3Fair,M3Fair,M3Fair,RW1,RW1,RW1,RW1,RW1,RW1,RW2,RW2,RW2,RW2,RW2,RW2,FairMASK,FairMASK,FairMASK,FairMASK,FairMASK,FairMASK
Domain,Version,Sensitive Feature,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD
Student,Baseline (UCI Repo),Sex,0.88478917,0.733671066,-0.199468114,-0.086629677,0.086629677,-0.083338203,0.87198794,1,1.11E-16,-0.036181534,0.036181534,-0.022787029,0.87198794,1.028576647,0.019204225,-0.034616588,0.034616588,-0.019668107,0.87198794,1,0,-0.039817897,0.039817897,-0.022268762,0.970621469,0.31,0.18,-0.02,0.02,-0.01
Student,Bias_Adjust_Flip_1 (Priv 0.3),Sex,0.8177711,0.78608258,-0.11717722,-0.169429135,0.169429135,-0.110855252,0.81099397,1,-1.11E-16,-0.095767792,0.095767792,-0.033293631,0.813253,1.014396981,0.007256254,-0.084654222,0.084654222,-0.027632878,0.811747,1,0,-0.10655952,0.10655952,-0.048690288,0.962711864,0.05,0.03,-0.02,0.02,0
Student,Bias_Adjust_Flip_2 (Priv 0.5),Sex,0.7703313,0.80830821,-0.080473122,-0.244993489,0.244993489,-0.148488383,0.76581323,1,5.55E-17,-0.16424651,0.16424651,-0.066643379,0.7612952,0.981080353,-0.007456917,-0.161460995,0.161460995,-0.07031135,0.7635542,1,-5.55E-17,-0.161460995,0.161460995,-0.06462878,0.901694915,0.13,0.07,0,0.14,0.07
Student,Bias_Adjust_Flip_3 (UnderPriv 0.3),Sex,0.86521083,0.77651287,-0.17423892,-0.075353499,0.080399369,-0.077876434,0.8682229,1,0,-0.029612394,0.029612394,-0.015625337,0.8704819,1.014588957,0.010426415,-0.019678619,0.019678619,-0.005094479,0.8704819,1,1.11E-16,-0.027802637,0.027802637,-0.023174602,0.968361582,0.08,0.06,-0.02,0.02,0
Student,Bias_Adjust_Flip_4 (UnderPriv 0.5),Sex,0.86671686,0.811228136,-0.150596243,-0.067251462,0.117486764,-0.092369113,0.8704819,1,-1.11E-16,-0.030443756,0.030443756,-0.008195251,0.8689759,1.001720716,0.001280816,-0.032077743,0.032077743,-0.009012244,0.8704819,1,0,-0.031905745,0.031905745,-0.011884825,0.967231638,0.01,0.01,-0.03,0.04,0.01
Student,Genetic Algorithm Modification,Sex,0.8915663,0.864593991,-0.108502604,-0.022622144,0.073217726,0.025297791,0.8817771,1,-2.22E-16,0.003191782,0.131272514,0.067232148,0.8817771,1.051380571,0.038556499,0.018356077,0.184845439,0.101600758,0.8802711,1,2.22E-16,0.00463896,0.125492167,0.065065564,0.984180791,0.21,0.14,0,0,0
Student,Baseline (UCI Repo),Age,0.88478917,0.586404481,-0.311145253,-0.043761536,0.260342214,-0.152051875,0.87198794,1,2.22E-16,0.005555556,0.145115876,-0.06978016,0.87198794,1,-1.11E-16,0.006847545,0.14100065,-0.067076552,0.87198794,1.021847922,0.014753979,0.006847545,0.14100065,-0.067076552,0.962711864,0.41,0.31,0.01,0.01,0
Student,Bias_Adjust_Flip_1 (Priv 0.3),Age,0.8177711,0.83743831,-0.085634747,0.047874307,0.159897292,-0.056011493,0.81099397,1,-1.11E-16,0.067454449,0.131566662,-0.032056106,0.813253,1,0,0.062160021,0.129011254,-0.033425616,0.811747,1.028049935,0.014116062,0.078795881,0.114305371,-0.017754745,0.95819209,0.4,0.23,0.01,0.01,0
Student,Bias_Adjust_Flip_2 (Priv 0.5),Age,0.7703313,1.172808963,0.065001536,0.191458027,0.191458027,0.046439786,0.76581323,1,5.55E-17,0.127614138,0.148941511,-0.010663686,0.7612952,1,-5.55E-17,0.130191458,0.149452858,-0.0096307,0.7635542,1.028065377,0.01091583,0.130191458,0.144683383,-0.007245963,0.963841808,0.45,0.23,0.02,0.02,0
Student,Bias_Adjust_Flip_3 (UnderPriv 0.3),Age,0.86521083,0.809009219,-0.143681138,-0.061722475,0.13960114,-0.100661807,0.8682229,1,0,-0.039825248,0.080088636,-0.059956942,0.8704819,1,-1.11E-16,-0.043701217,0.092750871,-0.068226044,0.8704819,1.023931045,0.017093858,-0.02951597,0.063311174,-0.046413572,0.964971751,0.3,0.23,0.03,0.04,0.04
Student,Bias_Adjust_Flip_4 (UnderPriv 0.5),Age,0.86671686,0.957836387,-0.031719415,-0.056492664,0.10889522,-0.082693942,0.8704819,1,0,-0.069828437,0.069828437,-0.057547963,0.8689759,1,-2.22E-16,-0.072828293,0.072828293,-0.059047891,0.8704819,1.022449374,0.016631495,-0.059952756,0.059952756,-0.037731997,0.969491525,0.22,0.18,0.01,0.07,0.04
Student,Genetic Algorithm Modification,Age,0.8915663,0.695842845,-0.257465031,-0.115369892,0.115369892,-0.077400902,0.8817771,1,1.11E-16,-0.050244042,0.176900585,0.063328271,0.8817771,1,1.11E-16,-0.058235238,0.162614871,0.052189816,0.8802711,1.014475177,0.011004773,-0.048952053,0.182748538,0.066898243,0.98079096,0.28,0.24,0,0.04,0.02
