,,,,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,RW,RW,RW,RW,RW,RW,RW,PR,PR,PR,PR,PR,PR,PR,DIR,DIR,DIR,DIR,DIR,DIR,DIR,EGR,EGR,EGR,EGR,EGR,EGR,EGR,ADV,ADV,ADV,ADV,ADV,ADV,ADV,FairMASK,FairMASK,FairMASK,FairMASK,FairMASK,FairMASK,FairMASK,FairC,FairC,FairC,FairC,FairC,FairC,FairC,FairSMOTE,FairSMOTE,FairSMOTE,FairSMOTE,FairSMOTE,FairSMOTE,FairSMOTE
Data,Version,Sensitive Feature,Best Model,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD
Adult,"Baseline (UCI Repo, 1994 Census)",Sex,XGB,0.868656716,0.711515678,0.928009526,-0.186857836,-0.115569081,0.122483615,-0.09167778,0.867330017,0.700449326,0.924412316,-0.110014583,0.119473655,0.119473655,0.050232802,0.766390271,0.11700794,0.728537733,-0.020816106,-0.048044969,0.048044969,-0.025309335,0.8684356,0.715583174,0.92711515,-0.193529011,-0.119368258,0.119368258,-0.096008439,0.83946932,0.632218845,0.723561115,-0.121111799,-0.003663337,0.031003856,-0.017333596,0.846876728,0.652272157,0.902614231,-0.100669424,0.173781749,0.173781749,0.071372571,0.813709232,,,0.12,0.09,0.09,0.04,0.826755113,,,0.09,0.01,0.01,0,0.785295744,,,0.21,0.16,0.16,0.02
Adult,Bias_Adjust_Flip_1 (Priv 0.3),Sex,LGBM,0.890547264,0.651165665,0.924563796,-0.065679161,0.057586092,0.06085207,0.017840805,0.888778331,0.640200286,0.920952894,-0.02116879,0.192280901,0.192280901,0.099910972,0.859038143,0.480651731,0.858274512,-0.035953428,0.083841543,0.083841543,0.034294627,0.886124931,0.643598616,0.921916451,-0.076594947,0.012429218,0.028204959,-0.007887871,0.8631288,0.540801187,0.664601576,-0.037993065,0.074279148,0.074279148,0.033393546,0.868214483,0.579393084,0.892180416,0.003929052,0.269199422,0.269199422,0.143535034,0.839248203,,,0.09,0.12,0.12,0.06,0.869430625,,,0.05,0.02,0.02,0,0.807739082,,,0.18,0.18,0.18,0.03
Adult,Bias_Adjust_Flip_2 (Priv 0.5),Sex,GBM,0.913211719,0.591725948,0.915222435,-0.000426,0.112939791,0.112939791,0.057242236,0.913322278,0.589958159,0.917135221,0.01906402,0.211125726,0.211125726,0.11063315,0.886898839,0.42881072,0.855305865,0.011003914,0.169655657,0.169655657,0.085130376,0.913543394,0.593555094,0.916783107,-0.003124406,0.1063162,0.1063162,0.052854081,0.892316197,0.46306505,0.669404702,-0.016520548,0.036365471,0.036365471,0.012524708,0.896296296,0.536102868,0.897771513,-0.005975398,0.117941598,0.117941598,0.055473702,0.866003317,,,0.06,0.13,0.13,0.06,0.900718629,,,0.03,0.02,0.02,0.01,0.83880597,,,0.16,0.2,0.2,0.05
Adult,Bias_Boundary_Flip_1 (Priv),Sex,XGB,0.883803206,0.644858169,0.91226878,-0.076616129,0.022118115,0.044276318,0.003360488,0.88291874,0.645700903,0.908860939,-0.02389419,0.204402516,0.204402516,0.111503226,0.86511885,0.586720867,0.872424277,-0.091369099,-0.064904642,0.064904642,-0.046937673,0.881260365,0.649019608,0.908805191,-0.087673903,-0.00164235,0.02308687,-0.01236461,0.871310116,0.605156038,0.738555747,-0.069426917,0.0244952,0.0244952,0.00519108,0.8684356,0.584206848,0.884352044,0.001865756,0.260891707,0.260891707,0.144942281,,,,,,,,,,,,,,,,,,,,,
Adult,Bias_Adjust_Flip_3 (UnderPriv 0.3),Sex,MLP,0.821006081,0.769539739,0.907764016,0.01374245,0.057956669,0.084687854,-0.013365593,0.630735213,0,0.499912358,0,0,0,0,0.793919292,0.701282051,0.85921274,0.067871738,0.113671521,0.113671521,0.04688598,0.630735213,0,0.499912358,0,0,0,0,0.791155334,0.701532628,0.790372533,0.029558434,-0.001195905,0.009054252,-0.005125078,0.830514096,0.75915161,0.904887167,0.063184268,0.113072015,0.113072015,0.038130216,0.805859591,,,0.09,0.05,0.05,0.03,0.804643449,,,0.07,-0.04,0.04,-0.02,0.772249862,,,0.17,0.09,0.09,0
Adult,Bias_Adjust_Flip_4 (UnderPriv 0.5),Sex,LGBM,0.858485351,0.832711949,0.93686079,0.248432691,0.182874726,0.182874726,0.096795229,0.852072969,0.828285421,0.93326446,0.149129971,0.069942953,0.078181343,-0.004119195,0.683250415,0.710108267,0.821916603,0.202465993,0.073393539,0.171142148,0.122267844,0.857379768,0.833376389,0.934979671,0.217063662,0.14541515,0.14541515,0.064295186,0.756218906,0.715226656,0.766258348,0.127225065,0.044453667,0.044453667,0.019121569,0.815257048,0.78290243,0.90043536,0.194506759,0.123197,0.123197,0.061046137,0.803095633,,,0.06,0.02,0.03,0.02,0.789165285,,,0.04,-0.08,0.08,-0.04,0.770702045,,,0.15,0.05,0.09,-0.02
Adult,Bias_Boundary_Flip_2 (UnderPriv),Sex,XGB,0.873521283,0.732264909,0.924986905,-0.146859856,0.025621257,0.059410711,-0.012490236,0.869320066,0.712128592,0.922416919,-0.084995191,0.165944195,0.165944195,0.077699857,0.839800995,0.653597896,0.889216475,-0.162398395,-0.039516814,0.079362633,-0.059439724,0.871199558,0.731504955,0.924513404,-0.158464456,0.000987763,0.059400554,-0.029206395,0.835489221,0.649882353,0.73699737,-0.098456486,0.003013621,0.008215065,-0.002600722,0.841348812,0.631200206,0.898077937,-0.025449699,0.326251219,0.326251219,0.166517692,,,,,,,,,,,,,,,,,,,,,
Adult,Genetic Algorithm Modification,Sex,LGBM,0.768822554,0.841281525,0.86747493,-0.145741122,-0.092669926,0.108581656,-0.005282742,0.737755666,0.826785454,0.857405414,0.086491767,0.047784031,0.622686964,0.335235497,0.746600332,0.806091371,0.829640595,-0.243212433,-0.190054273,0.190054273,-0.070482426,0.760972913,0.838343054,0.865110952,-0.136102373,-0.088634461,0.088634461,-0.007340665,0.720066335,0.795674629,0.709479361,-0.080400249,-0.014334464,0.053846981,0.019756258,0.769264787,0.830228585,0.859010465,-0.201684398,-0.148658749,0.148658749,-0.017324407,0.860475401,,,0,0.03,0.34,0.18,0.85527916,,,0,0,0.04,0.02,0.802321725,,,0.04,-0.03,0.12,0.04
Adult,Year 2000,Sex,XGB,0.917299858,0.569591724,0.909838087,-0.094574685,-0.2098578,0.2098578,-0.119844588,0.9147,0.546035125,0.901260186,-0.052141434,-0.02288897,0.02288897,-0.013707192,0.8804,0.026058632,0.666639111,-0.003446259,-0.017563117,0.017563117,-0.00902036,0.9171,0.57377892,0.909271872,-0.095685049,-0.206226184,0.206226184,-0.118522488,0.8993,0.400238237,0.637550166,-0.028095344,0.024067976,0.024067976,0.011770333,0.9024,0.459579181,0.88498895,-0.042507253,-0.018002935,0.018002935,-0.011447883,0.8775,,,0.05,0.06,0.06,0.04,0.9024,,,0.03,-0.02,0.02,-0.01,0.8549,,,0.11,0.14,0.14,0.05
