,,,,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,RW,RW,RW,RW,RW,RW,RW,PR,PR,PR,PR,PR,PR,PR,DIR,DIR,DIR,DIR,DIR,DIR,DIR,EGR,EGR,EGR,EGR,EGR,EGR,EGR,ADV,ADV,ADV,ADV,ADV,ADV,ADV,FairMASK,FairMASK,FairMASK,FairMASK,FairMASK,FairMASK,FairMASK,FairC,FairC,FairC,FairC,FairC,FairC,FairC,FairSMOTE,FairSMOTE,FairSMOTE,FairSMOTE,FairSMOTE,FairSMOTE,FairSMOTE
Data,Version,Sensitive Feature,Best Model,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD
German,Baseline (UCI Repo),Sex,RF,0.744911805,0.832409144,0.713991551,-0.154066561,-0.066764133,0.273391813,-0.151297046,0.74,0.832258065,0.730357143,-0.073566717,0.026082131,0.2,-0.086958935,0.705,0.802675585,0.709761905,-0.074327752,-0.044395117,0.075,-0.059697558,0.72,0.815789474,0.735,-0.083206494,-0.004439512,0.175,-0.089719756,0.735,0.817869416,0.663809524,-0.044901065,0.003884573,0.05,-0.023057714,0.725,0.80565371,0.748214286,0.009893455,0.012208657,0.1,0.056104329,0.565,,,0.16,0.09,0.28,-0.1,0.71,,,0.03,0.02,0.04,-0.01,0.615,,,0,-0.03,0.05,-0.04
German,Bias_Adjust_Flip_1 (Priv 0.3),Sex,DT,0.674506257,0.694902695,0.664829635,0.054705425,0.015850816,0.177963148,0.038859751,0.63,0.650943396,0.599090909,0.071893019,0.07120743,0.07120743,0.052151411,0.745,0.779220779,0.76979798,0.13532082,0.135448916,0.135448916,0.099197528,0.685,0.704225352,0.683838384,0.163047479,0.034829721,0.28293316,0.158881441,0.75,0.780701754,0.760606061,-0.015458226,-0.021671827,0.082414017,-0.052042922,0.685,0.712328767,0.755353535,0.366458103,0.378482972,0.378482972,0.337521824,0.54,,,0.12,0.24,0.24,0.12,0.605,,,0.2,-0.21,0.21,-0.04,0.59,,,0.05,0,0.03,0.02
German,Bias_Adjust_Flip_2 (Priv 0.5),Sex,DT,0.635308307,0.605033385,0.631504786,0.1910831,0.082659933,0.234120972,0.15000197,0.58,0.548387097,0.54979798,0.003885381,0.081932773,0.150193798,-0.034130513,0.46,0.622377622,0.527272727,0.003885381,0.017857143,0.018410853,-0.000276855,0.665,0.633879781,0.665050505,0.194997572,0.004201681,0.285852713,0.145027197,0.625,0.590163934,0.633181818,0.025012142,-0.018907563,0.027131783,-0.023019673,0.635,0.592178771,0.678787879,0.611704711,0.471638656,0.700581395,0.586110025,0.59,,,0.09,0.19,0.19,0.06,0.585,,,0.04,0.06,0.12,-0.03,0.57,,,0.07,-0.1,0.1,-0.09
German,Bias_Boundary_Flip_1 (Priv),Sex,LR,0.754711292,0.813546128,0.827057692,0.066797896,-0.010382673,0.224750612,0.011945874,0.755,0.81509434,0.827492084,0.068149132,0.011111111,0.159574468,0.08534279,0.765,0.823970038,0.815809586,0.052881956,0.021428571,0.096631206,0.059029889,0.755,0.81509434,0.827164538,0.068149132,0.011111111,0.159574468,0.08534279,0.775,0.831460674,0.763292936,0.052881956,0.00952381,0.117907801,0.063715805,0.745,0.808988764,0.820067693,0.030755615,0.011111111,0.054078014,0.032594563,,,,,,,,,,,,,,,,,,,,,
German,Bias_Adjust_Flip_3 (UnderPriv 0.3),Sex,LGBM,0.745062566,0.845295725,0.801112405,0.033176449,0.024840358,0.101892552,0.031315173,0.735,0.840840841,0.807458143,0.00796768,0.004091653,0.005128205,-0.000518276,0.79,0.864516129,0.797691527,0.091123331,0.038052373,0.153846154,0.095949264,0.755,0.85106383,0.788685946,-0.006845472,0.004091653,0.087179487,-0.041543917,0.77,0.851612903,0.701674277,0.02379082,-0.000409165,0.01025641,0.004923622,0.82,0.882352941,0.789827499,-0.035910672,-0.002454992,0.271794872,-0.137124932,0.585,,,0.04,0.03,0.09,-0.03,0.745,,,0,0,0,0,0.61,,,0.06,0,0.18,0.09
German,Bias_Adjust_Flip_4 (UnderPriv 0.5),Sex,LR,0.750188452,0.854937819,0.797842339,0.007751938,0.009009009,0.009009009,0.004504505,0.755,0.859598854,0.807068523,-0.007130125,0.00990099,0.055555556,-0.022827283,0.78,0.860759494,0.809839168,0.153743316,0.118613861,0.29390681,0.206260336,0.75,0.857142857,0.797810515,0.007575758,0.00990099,0.00990099,0.004950495,0.795,0.871473354,0.673266658,0.019607843,-0.000792079,0.11827957,0.058743745,0.8,0.873417722,0.809704014,0.064616756,0.068910891,0.094982079,0.081946485,0.585,,,0.01,-0.03,0.14,-0.08,0.775,,,0,0,0,0,0.61,,,0.02,0.05,0.05,0.04
German,Bias_Boundary_Flip_2 (UnderPriv),Sex,GBM,0.735112317,0.843991094,0.756971102,0.021942759,0.00952381,0.057142857,0.028571429,0.735,0.84548105,0.75608828,0.02189781,0.010204082,0.051282051,0.030743066,0.735,0.836923077,0.760147133,-0.00892133,-0.084183673,0.18974359,0.052779958,0.74,0.848837209,0.755390665,0.01459854,0,0.051282051,0.025641026,0.79,0.86875,0.674720954,-0.018769552,0.009353741,0.158974359,-0.074810309,0.775,0.856230032,0.78361238,0.009153053,-0.00170068,0.015384615,-0.008542648,,,,,,,,,,,,,,,,,,,,,
German,Genetic Algorithm Modification,Sex,DT,0.764736922,0.822703223,0.759587514,-0.015833776,0.024825015,0.096597847,0.042396412,0.795,0.853046595,0.765661524,-0.038345955,-0.039215686,0.127090301,0.043937307,0.81,0.853846154,0.881369799,0.048323116,0.039215686,0.27090301,0.155059348,0.72,0.8,0.734104722,0.0266859,-0.008169935,0.198439242,0.095134654,0.815,0.853754941,0.834852735,-0.046279601,-0.044117647,0.166109253,0.060995803,0.8,0.84375,0.875642824,-0.019473494,-0.044117647,0.227424749,0.091653551,,,,,,,,,,,,,,,,,,,,,
German,Baseline (UCI Repo),Age,RF,0.744911805,0.832409144,0.713991551,-0.260352855,0.013197913,0.445598846,-0.216200466,0.73,0.826923077,0.717261905,-0.134146342,0.088,0.223443223,-0.067721612,0.66,0.779220779,0.646547619,-0.008130081,-0.064,0.087912088,0.011956044,0.725,0.817275748,0.729761905,-0.304200542,-0.013333333,0.461538462,-0.237435897,0.715,0.806779661,0.652619048,-0.16598916,0.018666667,0.190476191,-0.085904762,0.7,0.784172662,0.713095238,-0.130081301,0.024,0.084249084,-0.030124542,0.565,,,0.16,0.09,0.28,-0.1,0.71,,,0.03,0.02,0.04,-0.01,0.615,,,0,-0.03,0.05,-0.04
