,,,,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,RW,RW,RW,RW,RW,RW,RW,PR,PR,PR,PR,PR,PR,PR,DIR,DIR,DIR,DIR,DIR,DIR,DIR,EGR,EGR,EGR,EGR,EGR,EGR,EGR,ADV,ADV,ADV,ADV,ADV,ADV,ADV,FairMASK,FairMASK,FairMASK,FairMASK,FairMASK,FairMASK,FairMASK,FairC,FairC,FairC,FairC,FairC,FairC,FairC,FairSMOTE,FairSMOTE,FairSMOTE,FairSMOTE,FairSMOTE,FairSMOTE,FairSMOTE
Data,Version,Sensitive Feature,Best Model,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD
Student Dropout ,Baseline (UCI Repo),Sex,LR,0.880225989,0.914488072,0.921195748,0.275092573,0.083287764,0.1202872,0.091062184,0.877966102,0.91318328,0.91259872,0.237487226,0.053615641,0.053615641,0.053380053,0.846327684,0.895545315,0.893305758,0.187230639,0.036241783,0.037773759,0.037007771,0.880225989,0.914516129,0.919933913,0.269766073,0.077008452,0.10066305,0.088835751,0.847457627,0.892086331,0.824737527,0.117102457,-0.020319303,0.11151296,-0.065916131,0.86779661,0.90632506,0.916477233,0.241374906,0.057642505,0.080168776,0.068905641,0.970621469,,,0.18,-0.02,0.02,-0.01,0.877966102,,,0.17,-0.06,0.06,-0.01,0.858757062,,,0.27,-0.11,0.11,-0.03
Student Dropout ,Bias_Adjust_Flip_1 (Priv 0.3),Sex,GBM,0.856497175,0.870821607,0.914225174,-0.023199684,-0.006394265,0.054395213,-0.025758893,0.853107345,0.867346939,0.919835228,-0.005085421,0.027796053,0.038660628,-0.005432287,0.812429379,0.833667335,0.863616777,-0.032170561,-0.039144737,0.039144737,-0.029830645,0.850847458,0.864476386,0.916408462,-0.035808863,0.005592105,0.079181495,-0.036794695,0.809039548,0.831505484,0.824760434,-0.044591174,-0.084539474,0.084539474,-0.039843338,0.829378531,0.846700508,0.888465958,-0.038246116,-0.036019737,0.036935188,-0.036477463,0.96271186,,,0.03,-0.02,0.02,0,0.85875706,,,0,-0.07,0.07,-0.04,0.849717514,,,0.11,-0.09,0.09,-0.04
Student Dropout ,Bias_Adjust_Flip_2 (Priv 0.5),Sex,GBM,0.859887006,0.846158429,0.927588523,-0.129057188,0.004287118,0.073974814,-0.017763897,0.837288136,0.822660099,0.920073307,-0.043646798,0.068629864,0.068629864,0.062183625,0.788700565,0.762388818,0.859755781,-0.176382736,-0.160500916,0.160500916,-0.093137658,0.84180791,0.829683698,0.920784574,-0.105400054,0.005605228,0.005605228,0.000883658,0.711864407,0.684796045,0.756842701,-0.088485032,0.008886337,0.054198325,-0.022655994,0.793220339,0.772670808,0.869910806,-0.15982011,-0.099718371,0.099718371,-0.072302202,0.901694915,,,0.07,0,0.14,0.07,0.816949153,,,0.08,-0.07,0.07,-0.03,0.812429379,,,0.02,-0.08,0.08,-0.01
Student Dropout ,Bias_Boundary_Flip_1 (Priv),Sex,MLP,0.863276836,0.90323511,0.914881523,0.118459925,0.019620209,0.107576089,0.04163869,0.814689266,0.870866142,0.892482907,0.162687951,0.070404474,0.146933406,0.10866894,0.801129944,0.863987635,0.881710366,-0.012852164,-0.010708683,0.179323172,-0.095015927,0.824858757,0.87956488,0.899637015,0.123204272,0.030557261,0.103066594,0.066811927,0.881355932,0.914703493,0.868808999,0.079676713,-0.00083214,0.024405734,-0.012618937,0.872316384,0.908797417,0.920930976,0.123321567,0.023149853,0.064189802,0.043669828,,,,,,,,,,,,,,,,,,,,,
Student Dropout ,Bias_Adjust_Flip_3 (UnderPriv 0.3),Sex,MLP,0.86440678,0.911249608,0.900441,0.016064111,0.003020707,0.063599106,-0.030289199,0.837288136,0.895043732,0.872826241,0.06738095,0.050600659,0.050600659,0.030189785,0.849717514,0.900967982,0.88084007,-0.022895356,-0.005334374,0.180555556,-0.092944965,0.81920904,0.887165021,0.861460998,0.05415686,0.016013965,0.070719955,0.04336696,0.847457627,0.898266767,0.807446371,0.018188004,0.001474542,0.057681406,-0.028103432,0.870056497,0.915254237,0.89736257,0.031239194,0.004250152,0.022959184,-0.009354516,0.968361582,,,0.06,-0.02,0.02,0,0.873446328,,,0.07,-0.06,0.06,-0.03,0.861016949,,,0.14,-0.07,0.07,-0.01
Student Dropout ,Bias_Adjust_Flip_4 (UnderPriv 0.5),Sex,GBM,0.911864407,0.942937456,0.936359744,-0.017589429,0.028279675,0.063132329,0.042538604,0.914124294,0.944444444,0.935303704,-0.008651151,0.028181476,0.090297488,0.059239482,0.865536723,0.915060671,0.891931418,-0.004264652,0.047712726,0.047712726,0.014868662,0.903954802,0.937910884,0.933883031,-0.011785948,0.031174699,0.055923473,0.043549086,0.836158192,0.894851342,0.836977868,-0.033330749,-0.010118599,0.040260696,0.015071048,0.894915254,0.932754881,0.908770561,-0.031165192,0.019455949,0.019455949,0.006626955,0.96723164,,,0.01,-0.03,0.04,0.01,0.88813559,,,0.02,-0.02,0.03,-0.02,0.873446328,,,0.05,-0.06,0.06,-0.03
Student Dropout ,Bias_Boundary_Flip_2 (UnderPriv),Sex,LGBM,0.877966102,0.916086832,0.923521083,0.125313598,0.025725134,0.06569311,0.031444438,0.883615819,0.919719408,0.920808443,0.133040531,0.034458431,0.034458431,0.034356619,0.847457627,0.899777283,0.895909708,0.089264154,0.011486144,0.014586976,0.01303656,0.885875706,0.921644686,0.92055002,0.124034915,0.021115691,0.033435315,0.027275503,0.880225989,0.91908397,0.833109968,0.112121581,0.002029879,0.050316871,0.026173375,0.874576271,0.914942529,0.904581896,0.132697143,0.020608221,0.079927885,0.050268053,,,,,,,,,,,,,,,,,,,,,
Student Dropout ,Genetic Algorithm Modification,Sex,DT,0.661016949,0.473871013,0.637619552,0.291614448,0.253418296,0.298123623,0.256588623,0.66779661,0.457564576,0.640420359,0.218864093,0.176635436,0.186854005,0.181744721,0.681355932,0.367713005,0.660486012,0.217296879,0.264723105,0.264723105,0.200514007,0.675706215,0.524046435,0.657612288,0.237013254,0.226116781,0.226116781,0.193630096,0.651977401,0.3125,0.571182092,0.016576077,-0.029739,0.029739,-0.009346244,0.66779661,0.4048583,0.667365025,0.085615674,0.069014556,0.069014556,0.053870973,0.94124294,,,0.18,-0.02,0.02,0,0.71299435,,,0.37,-0.42,0.42,-0.08,0.718644068,,,0.29,-0.24,0.24,-0.02
Student Dropout ,Baseline (UCI Repo),Age,XGB,0.883615819,0.916240938,0.934141493,-0.35940567,-0.018352929,0.237435037,-0.127893983,0.876836158,0.911454102,0.929495442,-0.303487707,0.027855389,0.186298077,-0.079221344,0.866666667,0.902800659,0.912176888,-0.338194407,-0.01016002,0.231770833,-0.120965427,0.884745763,0.91680261,0.931048019,-0.326112141,0.000444501,0.190504808,-0.095030153,0.862146893,0.902086677,0.824148719,-0.265768958,0.038608077,0.148036859,-0.054714391,0.880225989,0.914100486,0.922406318,-0.338160334,-0.003492507,0.228966346,-0.116229427,0.962711864,,,0.31,0.01,0.01,0,0.868926554,,,0.29,0.01,0.15,-0.07,0.862146893,,,0.29,0.05,0.12,-0.03
Student Dropout ,Bias_Adjust_Flip_1 (Priv 0.3),Age,LGBM,0.875706215,0.87990308,0.943694677,-0.099170614,0.032933616,0.032933616,0.018705205,0.879096045,0.883569097,0.943144206,-0.097720478,0.071428571,0.071428571,0.026846924,0.82259887,0.832085562,0.881803694,-0.127761169,0.088827839,0.115077,-0.01312458,0.871186441,0.875273523,0.942837733,-0.126993024,0,0.021013413,-0.010506706,0.801129944,0.810752688,0.826229977,-0.077416542,0.019230769,0.019230769,0.016582598,0.84519774,0.853161844,0.922217228,-0.088025245,0.093406593,0.093406593,0.028906476,0.967231638,,,0.11,0,0.01,0,0.848587571,,,0.09,-0.03,0.03,-0.03,0.854237288,,,0.09,0.04,0.04,0.02
Student Dropout ,Bias_Adjust_Flip_2 (Priv 0.5),Age,GBM,0.858757062,0.823464472,0.929924571,0.051510975,0.020852673,0.059027169,0.004570519,0.862146893,0.828651685,0.930474975,0.025925926,-0.021311195,0.021311195,-0.019029526,0.779661017,0.720229555,0.831404764,0.116825397,0.24075659,0.24075659,0.104687245,0.86440678,0.830028329,0.934148016,0.047301587,0.016175967,0.016175967,0.004464649,0.755932203,0.687861272,0.772432357,0.024338624,-0.033806915,0.033806915,-0.009546076,0.810169492,0.76203966,0.888167984,0.172169312,0.229116741,0.229116741,0.147530712,0.964971751,,,0.06,0,0.04,0.02,0.865536723,,,0.08,-0.08,0.08,-0.02,0.858757062,,,0.06,0.01,0.04,0.02
Student Dropout ,Bias_Boundary_Flip_1 (Priv),Age,RF,0.86779661,0.901758737,0.92531004,-0.310873688,-0.040270202,0.191671098,-0.11597065,0.86779661,0.901763224,0.928197874,-0.320441392,-0.025950085,0.223163842,-0.124556963,0.858757062,0.897288414,0.914593736,-0.339509372,-0.030582341,0.285579769,-0.158081055,0.863276836,0.89823381,0.925081433,-0.317504535,-0.033512951,0.214689266,-0.124101109,0.859887006,0.897009967,0.877131634,-0.256715902,-0.004726791,0.124652498,-0.064689644,0.874576271,0.907112971,0.923599292,-0.319944718,-0.008791832,0.231638418,-0.120215125,,,,,,,,,,,,,,,,,,,,,
Student Dropout ,Bias_Adjust_Flip_3 (UnderPriv 0.3),Age,MLP,0.870056497,0.91285292,0.900681283,-0.161922344,-0.010416263,0.185965297,-0.09819078,0.829378531,0.892065761,0.872906721,-0.15015873,0.013736986,0.277108434,-0.131685724,0.858757062,0.906785981,0.887834356,-0.151640212,0.005816562,0.204819277,-0.099501358,0.829378531,0.892065761,0.867368847,-0.143915344,0.013736986,0.259036145,-0.122649579,0.863276836,0.908402725,0.830782249,-0.134497355,0.021533654,0.168674699,-0.073570522,0.866666667,0.908527132,0.902806193,-0.138518519,0.009683957,0.138554217,-0.06443513,0.970621469,,,0.16,0,0.01,0,0.872316384,,,0.13,-0.01,0.08,-0.04,0.862146893,,,0.14,0.02,0.06,-0.02
Student Dropout ,Bias_Adjust_Flip_4 (UnderPriv 0.5),Age,GBM,0.871186441,0.914680646,0.901674543,-0.056539035,0.003997306,0.165842358,-0.06270759,0.875706215,0.917787743,0.900378691,-0.036743568,0.025654099,0.108579639,-0.04146277,0.856497175,0.90709583,0.885351901,-0.072873178,-0.021387361,0.129515599,-0.07545148,0.873446328,0.916292975,0.899821397,-0.068705488,0.001073393,0.16091954,-0.079923073,0.84519774,0.898593634,0.811822687,-0.030235615,0.021588622,0.088464696,-0.033438037,0.870056497,0.914115011,0.89734379,-0.057386996,-0.005823158,0.103243021,-0.05453309,0.974011299,,,0.06,-0.01,0.01,0,0.877966102,,,0.05,-0.01,0.07,-0.04,0.865536723,,,0.01,0.01,0.01,0
Student Dropout ,Bias_Boundary_Flip_2 (UnderPriv),Age,GBM,0.893785311,0.925499921,0.943760037,-0.282719798,0.022602914,0.186960755,-0.082178921,0.888135593,0.921115538,0.946856929,-0.264781022,0.034006534,0.164588255,-0.06529086,0.702824859,0.738308458,0.913739559,-0.209890511,0.007276507,0.134538263,-0.063630878,0.892655367,0.924782264,0.942594179,-0.289379562,0.00950401,0.191726639,-0.091111314,0.870056497,0.909377463,0.877820019,-0.156021898,0.01009801,0.079162775,0.044630393,0.898305085,0.927536232,0.939848528,-0.323321168,-0.000891001,0.235181014,-0.118036008,,,,,,,,,,,,,,,,,,,,,
Student Dropout ,Genetic Algorithm Modification,Age,LGBM,0.911864407,0.94212868,0.960227632,-0.242275089,-0.093348905,0.093348905,-0.044498544,0.91299435,0.943173432,0.961687098,-0.208850415,-0.074041301,0.074041301,-0.004526182,0.783050848,0.875324675,0.737634835,0.009228668,-0.003792275,0.12085177,0.058529747,0.907344633,0.9394387,0.960660797,-0.222678824,-0.083613923,0.083613923,-0.029362271,0.853107345,0.904270987,0.829934741,-0.141535426,-0.016571094,0.023783186,0.003606046,0.888135593,0.928416486,0.938167096,-0.250429037,-0.11107919,0.11107919,-0.105087899,0.98079096,,,0.24,0,0.04,0.02,0.907344633,,,0.28,0.08,0.14,-0.03,0.90960452,,,0.21,0.04,0.04,0.02
