dataset,sensitive_feature,technique,acc,f1,prec,SPD,EOPD,EOD,AOD,DI,FR
Student_orig,Gender,Fair-SMOTE,0.8587570621468926,0.8936170212765957,0.8663366336633663,0.27,-0.11,0.11,-0.03,0.53,0.015819209039548022
Student_orig,Gender,Random,0.8598870056497175,0.8966666666666666,0.8526148969889065,0.26,-0.1,0.1,-0.02,0.49,0.00903954802259887
Student_orig,Gender,xFAIR,0.9706214689265537,0.9784768211920529,0.9736408566721582,0.18,-0.02,0.02,-0.01,0.31,
Student_orig,Gender,FairC,0.8779661016949153,0.913322632423756,0.8821705426356589,0.17,-0.06,0.06,-0.01,0.28,
Student_orig,age,Fair-SMOTE,0.8621468926553673,0.8962585034013606,0.8682042833607908,0.29,0.05,0.12,-0.03,0.38,0.013559322033898305
Student_orig,age,Random,0.8542372881355932,0.8924103419516264,0.8492063492063492,0.28,0.05,0.1,-0.02,0.35,0.0022598870056497176
Student_orig,age,xFAIR,0.9627118644067797,0.972568578553616,0.9717607973421927,0.31,0.01,0.01,0.0,0.41,
Student_orig,age,FairC,0.8689265536723164,0.9063004846526656,0.880690737833595,0.29,0.01,0.15,-0.07,0.37,
Student_bias1,Gender,Fair-SMOTE,0.8497175141242937,0.8571428571428571,0.83125,0.11,-0.09,0.09,-0.04,0.23,0.02598870056497175
Student_bias1,Gender,Random,0.8463276836158192,0.854389721627409,0.8260869565217391,0.1,-0.09,0.09,-0.04,0.22,0.00903954802259887
Student_bias1,Gender,xFAIR,0.9627118644067797,0.9656607700312175,0.9527720739219713,0.03,-0.02,0.02,0.0,0.05,
Student_bias1,Gender,FairC,0.8587570621468926,0.8717948717948718,0.8483033932135728,0.0,-0.07,0.07,-0.04,0.0,
Student_bias1,age,Fair-SMOTE,0.8463276836158192,0.8540772532188842,0.8274428274428275,0.2,0.06,0.06,0.0,0.34,0.0192090395480226
Student_bias1,age,Random,0.847457627118644,0.8549946294307197,0.8291666666666667,0.21,0.08,0.08,0.02,0.35,0.003389830508474576
Student_bias1,age,xFAIR,0.9581920903954803,0.9610115911485775,0.96,0.23,0.01,0.01,0.0,0.4,
Student_bias1,age,FairC,0.8508474576271187,0.8639175257731959,0.844758064516129,0.23,-0.01,0.1,-0.06,0.37,
Student_bias2,Gender,Fair-SMOTE,0.8124293785310734,0.7919799498746867,0.7165532879818595,0.02,-0.08,0.08,-0.01,0.05,0.014689265536723164
Student_bias2,Gender,Random,0.8271186440677966,0.796271637816245,0.7588832487309645,0.01,-0.06,0.06,-0.02,0.02,0.01694915254237288
Student_bias2,Gender,xFAIR,0.9016949152542373,0.8994219653179191,0.8347639484978541,0.07,0.0,0.14,0.07,0.13,
Student_bias2,Gender,FairC,0.8169491525423729,0.8085106382978723,0.7651006711409396,0.08,-0.07,0.07,-0.03,0.14,
Student_bias2,age,Fair-SMOTE,0.8429378531073446,0.8154050464807437,0.7752525252525253,0.11,0.02,0.03,0.0,0.24,0.0327683615819209
Student_bias2,age,Random,0.8395480225988701,0.804945054945055,0.7897574123989218,0.15,0.12,0.12,0.04,0.33,0.010169491525423728
